"","IE00BFDTF255","LU1049767863","LU0048575426","LU1049766626","IE0004866665","LU0075933415","LU0048573645","LU0196878994","LU0459992896","LU0425308086","LU0061175625","LU0608807433","LU0634319403","GB0008192063","LU0205439572","LU0088814487","LU0997587323","HK0000288818","IE00B8N0MW85","LU1775958025","IE00B881PF08","LU1105447079","LU0274383693","LU0048816135","LU0607515367","LU0823379622","LU0128526141","LU0348783233","LU0293313325","LU0871639620","LU0496654236","LU0259732245","LU0054578231","LU0128522744","LU0075112721","LU0154245756","HK0000116340","LU0274383263","LU0261945553","LU1775969659","LU0882574055","HK0000264892","IE00B7KFL990","LU0334858593","LU0794789627","LU0772969993","LU0543330566","LU0905233846","LU0028121183","LU0414403419","LU0006061336","LU0064964074","HK0000211927","GB0000822576","IE0004866889","IE0000829451","LU0342688198","LU0052756011","LU0811022283","LU0256863811","LU0334857355","LU0801099465","LU0756523055","LU0264605907","LU0171289902","LU0077335932","LU0200680600","LU0248271941","LU0052750758","GB00BF2H6H20","LU0173614495"
"2014-01-02 08:00:00",,,23.12,,78.71,656.73999,28.584,2.4601,9.07,12.22,34.77,9,10.35,6.96,17.26,18.327,,,8.22,24.26,8.22,,1.0112,45.67,1055,142.61,38.3,99.84,73.75,8.111624,8.636433,17.628,87.59,36.63,94.77,193.94,61.03,0.9805,20.74,9.49,11.78,,11.03,20.40002,13.64,13.44,7.96,10.35,87.02,15.1,168.23,9.264701,,576.4,632.7545,107.7,123.44587,20.25,7.17,12.861,13.44,10.689,6.674,8.18593,5.86,33.84,14.55,14.7,22.95,40.07,44.283
"2014-01-03 08:00:00",,,22.89,,79.82,657.60999,28.339,2.4406,9.11,12.23,35.08,8.96,10.15,6.95,17.14,18.462,,,8.22,23.84,8.22,,1.00859,45.16,1055,142.66,38.38,98.96,73.14,8.104521,8.628263,17.377,87.87,36.41,94.04,194.86,60.47,0.9821,20.56,9.5,11.81,,11.04,20.36228,13.51,13.42,7.91,10.34,87.02,14.97,168.44,9.264701,,575.8,624.31924,108.82,123.13682,20.23,7.167,12.77337,13.31,10.671,6.662,8.11686,5.92,33.82,14.56,14.8,22.63,40.15,43.548
"2014-01-06 08:00:00",,,22.82,,79.34,653.90997,28.225,2.417,9.09,12.25,35.08,8.95,10.07,6.971,16.99,18.414,,,8.23,23.69,8.24,,1.00163,44.64,1049,142.5,38.22,99.44,72.83,8.104521,8.628263,17.199,87.9,36.26,93.37,193.16,60.05,0.9784,20.48,9.5,11.79,,11.05,20.38115,13.51,13.42,7.86,10.34,87.02,14.84,168.45,9.264701,,579.2,618.40965,107.89,123.74526,20.23,7.163,12.7539,13.25,10.658,6.655,8.05468,5.95,33.64,14.58,14.73,22.4,40.13,42.841
"2014-01-07 08:00:00",,,22.87,,78.78,654.51001,28.282,2.4069,9.1,12.25,35.16,8.99,10.08,6.984,17,18.588,,,8.25,23.71,8.24,,1.00926,44.3,1041,142.64999,38.26,99.27,72.28,8.097418,8.620092,17.127,88.04,36.47,93.51,195.3,59.83,0.9732,20.51,9.52,11.86,,11.07,20.48494,13.49,13.48,7.83,10.35,87.02,14.76,168.95,9.264701,,580.4,614.30413,107.37,122.76983,20.29,7.163,12.74417,13.24,10.649,6.649,8.06159,5.98,34.01,14.59,14.65,22.33,40.21,43.013
"2014-01-08 08:00:00",,,22.85,,79.08,651.69,28.47,2.4378,9.11,12.27,35.18,8.99,10.22,6.987,17.03,18.665,,,8.23,23.88,8.25,,0.99892,44.84,1062,142.67,38.34,99.72,72.94,8.083212,8.603751,17.224,88.26,36.55,94.11,196.53999,60.23,0.9785,20.66,9.53,11.96,,11.06,20.51325,13.54,13.46,7.87,10.34,87.02,14.88,168.86,9.264701,,577.8,624.27043,107.37,123.05956,20.34,7.168,12.77337,13.38,10.64,6.643,8.13067,5.97,34.25,14.6,14.75,22.47,40.16,43.443
"2014-01-09 08:00:00",,,22.63,,78.66,639.63,28.405,2.4265,9.13,12.28,35.12,8.93,10.14,7.015,16.89,18.559,,,8.24,23.71,8.26,,0.98868,44.54,1054,142.56,38.34,99.77,72.5,8.097418,8.620092,17.122,88.68,36.27,93.46,196.7,59.75,0.98,20.61,9.53,11.99,,11.07,20.69253,13.53,13.41,7.82,10.33,87.02,14.77,170.29,9.264701,,579.6,617.77577,106.94,123.19476,20.34,7.165,12.80258,13.26,10.643,6.645,8.0685,6.03,34.2,14.59,14.83,22.12,40.46,42.975
"2014-01-10 08:00:00",,,22.73,,78.55,653.96997,28.555,2.4036,9.13,12.34,35.32,8.96,10.12,7.019,16.99,18.607,7.8,,8.29,23.69,8.26,,0.99883,44.41,1053,142.64999,38.68,99.99,71.84,8.104521,8.620092,17.19,89.04,36.3,93.49,197.41,59.45,0.986,20.71,9.53,12.05,,11.14,20.76802,13.57,13.47,7.84,10.37,87.02,14.8,170.04,9.264701,,581.1,617.02486,106.75,123.08853,20.45,7.173,12.81232,13.22,10.654,6.652,8.0685,6.01,34.21,14.59,14.78,22.09,40.63,42.994
"2014-01-13 08:00:00",,,22.89,,79.11,652.48999,28.961,2.4042,9.13,12.37,35.43,8.96,10.13,7.02,17.08,18.646,7.81,,8.31,24,8.26,,1.00849,44.43,1053,143.17,38.64,99.93,72.43,8.111624,8.636433,17.423,89.31,36.28,93.66,194.75,59.29,1.006,21.01,9.55,12.08,,11.16,20.85294,13.63,13.45,7.84,10.39,87.02,14.89,170.07,9.264701,,583.3,617.34669,108.06,122.74085,20.38,7.197,12.80258,13.35,10.659,6.655,8.12376,6.03,34.4,14.6,15.06,22.17,41.02,43.08
"2014-01-14 08:00:00",,,22.86,,77.26,654.32001,28.913,2.3977,9.13,12.37,35.29,8.98,10.1,6.986,16.99,18.627,7.81,,8.3,23.9,8.27,,0.99883,44.32,1028,143.27,38.64,99.27,71.83,8.12583,8.644604,,88.5,36.24,93.35,198,58.62,1.0028,20.98,9.55,12.04,,11.15,20.77745,13.48,13.46,7.82,10.39,87.02,14.74,168.63,9.264701,,581.7,613.81654,105.61,121.14732,20.47,7.197,12.64681,13.33,10.66,6.656,8.08232,5.98,34.35,14.61,15,22.01,40.8,43.156
"2014-01-15 08:00:00",,,22.96,,77.61,654.17999,28.734,2.4073,9.14,12.34,35.57,8.97,10.13,7.12,17.02,18.926,7.81,,8.3,23.85,8.27,,1.00327,44.47,1050,143.09,38.91,99.56,72.98,8.132933,8.652775,17.514,89.49,36.36,93.27,199.78999,59.1,1.0133,20.84,9.55,12.1,,11.15,20.9756,13.55,13.55,7.84,10.4,87.02,14.79,171.15,9.264701,,590.5,621.16937,105.64,123.15613,20.53,7.195,12.80258,13.4,10.675,6.665,8.05468,6.08,34.67,14.63,15.21,22.17,41.07,43.242
"2014-01-16 08:00:00",,,22.91,,77.53,646.26001,28.668,2.4125,9.16,12.36,35.41,8.96,10.17,7.162,16.97,18.849,7.82,,8.32,23.82,8.29,,0.99631,44.52,1051,143.07001,38.81,99.27,73.05,8.132933,8.652775,17.418,89.66,36.21,93.71,199.49001,59.41,1.0101,20.8,9.56,12.12,,11.17,21.02278,13.6,13.52,7.83,10.39,87.02,14.76,171.65,9.264701,,596.8,622.67118,105.49,123.42656,20.49,7.2,12.93888,13.38,10.684,6.671,8.02014,6.08,34.61,14.65,15.09,22.23,41.03,43.003
"2014-01-17 08:00:00",,,22.89,,77.6,644.66998,28.668,2.4276,9.17,12.36,35.63,8.97,10.22,7.201,16.95,18.926,7.82,,8.34,24.02,8.3,,0.98404,44.15,1052,143.32001,38.92,100.15,72.84,8.154242,8.669116,17.334,89.9,36.17,93.75,198.39999,60.16,1.0003,20.8,9.58,12.12,,11.2,21.1077,13.61,13.54,7.82,10.39,87.02,14.7,172.17,9.264701,,595.5,624.3387,105.46,123.96739,20.46,7.213,12.90968,13.4,10.695,6.678,8.01324,6.1,34.61,14.67,15,22.35,41.09,43.003
