"","LU0496654236","LU0997587323","LU0075933415","LU0128522744","LU1049766626"
"2014-01-02",8.636433,,656.73999,36.63,
"2014-01-03",8.628263,,657.60999,36.41,
"2014-01-06",8.628263,,653.90997,36.26,
"2014-01-07",8.620092,,654.51001,36.47,
"2014-01-08",8.603751,,651.69,36.55,
"2014-01-09",8.620092,,639.63,36.27,
"2014-01-10",8.620092,7.8,653.96997,36.3,
"2014-01-13",8.636433,7.81,652.48999,36.28,
"2014-01-14",8.644604,7.81,654.32001,36.24,
"2014-01-15",8.652775,7.81,654.17999,36.36,
"2014-01-16",8.652775,7.82,646.26001,36.21,
"2014-01-17",8.669116,7.82,644.66998,36.17,
"2014-01-20",8.677287,7.83,645.87,36.34,
"2014-01-21",8.677287,7.83,639.35999,36.35,
"2014-01-22",8.669116,7.83,644.96997,36.13,
"2014-01-23",8.660946,7.82,629.35999,35.63,
"2014-01-24",8.685458,7.81,615.59003,35.05,
"2014-01-27",8.652775,7.8,613.52002,34.46,
"2014-01-28",8.628263,7.8,614.76001,34.68,
"2014-01-29",8.644604,7.81,607.53003,34.28,
"2014-01-30",8.652775,7.8,608.96002,34.31,
"2014-01-31",8.645064,7.8,609.42999,34.24,
"2014-02-03",8.645064,7.81,594.19,33.54,
"2014-02-04",8.645064,7.8,602.40002,33.66,
"2014-02-05",8.645064,7.8,602.82001,33.41,
"2014-02-06",8.636869,7.8,618.40997,34.18,
"2014-02-07",8.653258,7.8,620.39001,34.51,
"2014-02-10",8.661452,7.81,614.60999,34.34,
"2014-02-11",8.677841,7.82,623.81,34.76,
"2014-02-12",8.669647,7.82,622.88,34.67,
"2014-02-13",8.686036,7.82,621.59003,34.71,
"2014-02-14",8.686036,7.84,631.27002,35.05,
"2014-02-17",8.69423,7.84,629.59003,35.08,
"2014-02-18",8.710619,7.86,618.04999,35.08,
"2014-02-19",8.727007,7.86,617.71002,35.03,
"2014-02-20",8.718813,7.86,620.40997,35.04,
"2014-02-21",8.718813,7.87,624.15002,35.18,
"2014-02-24",8.727007,7.88,629.67999,35.25,
"2014-02-25",8.727007,7.89,620.52002,35.38,
"2014-02-26",8.735202,7.9,616.40997,35.4,
"2014-02-27",8.751591,7.91,626.16998,35.78,
"2014-02-28",8.766921,7.95,625.15997,35.89,
"2014-03-03",8.783354,7.92,625.04999,35.47,
"2014-03-04",8.775138,7.92,,35.73,
"2014-03-05",8.775138,7.93,622.14001,35.91,
"2014-03-06",8.775138,7.92,634.16998,36.27,
"2014-03-07",8.783354,7.94,618.84003,36.01,
"2014-03-10",8.783354,7.91,609.73999,35.6,
"2014-03-11",8.734056,7.9,609.33002,35.5,
"2014-03-12",8.775138,7.9,608.41998,35.24,
"2014-03-13",8.775138,7.9,604.53998,34.94,
"2014-03-14",8.783354,7.9,600.40997,34.73,
"2014-03-17",8.783354,7.89,603.96997,34.99,
"2014-03-18",8.783354,7.9,616.03003,35.21,
"2014-03-19",8.775138,7.91,618.83002,34.98,
"2014-03-20",8.750488,7.89,627.84998,34.84,
"2014-03-21",8.750488,7.9,632.96997,34.97,
"2014-03-24",8.758705,7.92,637.57001,35.05,
"2014-03-25",8.766921,7.95,644.54999,35,
"2014-03-26",8.775138,7.92,644.19,35.08,
"2014-03-27",8.79157,7.93,665.32001,35.09,
"2014-03-28",8.808004,7.93,668.15997,35.37,
"2014-03-31",8.801589,7.93,677.26001,35.5,
"2014-04-01",8.818071,7.93,676.82001,36.07,
"2014-04-02",8.826313,7.93,688.01001,36.12,
"2014-04-03",8.826313,7.94,682.28998,35.98,
"2014-04-04",8.818071,7.95,688.28998,35.9,
"2014-04-07",8.826313,7.96,697.83002,35.62,
"2014-04-08",8.842795,7.96,701.09998,35.91,
"2014-04-09",8.851036,7.96,695.84003,36.25,
"2014-04-10",8.851036,7.97,694.63,36.58,
"2014-04-11",8.867519,7.97,699.04999,36.35,
"2014-04-14",8.859277,7.97,698.39001,36.32,
"2014-04-15",8.867519,7.98,685.75,36.11,
"2014-04-16",8.859277,7.97,692.53998,36.2,
"2014-04-17",8.851036,8.01,697.25,36.42,
"2014-04-18",,7.97,,,
"2014-04-21",,7.98,,36.59,
"2014-04-22",8.842795,7.97,693.78998,36.64,
"2014-04-23",8.851036,7.98,690.08002,36.57,
"2014-04-24",8.851036,7.99,694.98999,36.52,
"2014-04-25",8.851036,7.99,689.04999,36.29,
"2014-04-28",8.859277,7.98,687.97998,36.09,
"2014-04-29",8.900483,7.98,695.34998,36.02,99.71
"2014-04-30",8.861294,8,692.65002,35.81,99.66
"2014-05-01",,8,,35.84,
"2014-05-02",8.869559,8.01,706.82001,36.07,99.86
"2014-05-05",8.894358,8.02,706.66998,36.21,99.47
"2014-05-06",8.894358,8.02,709.03998,36.29,99.49
"2014-05-07",8.894358,8.02,715.15002,36.04,98.78
"2014-05-08",8.919157,8.03,713.77002,35.96,98.19
"2014-05-09",8.927423,8.03,709.69,36.01,98.72
"2014-05-12",8.927423,8.03,720.89001,36.36,98.9
"2014-05-13",8.927423,8.04,722.79999,36.43,99.59
"2014-05-14",8.952221,8.05,725.10999,36.74,100.46
"2014-05-15",8.968754,8.07,716.73999,36.63,100.01
"2014-05-16",9.001818,8.06,721.65997,36.71,100.26
"2014-05-19",8.993552,8.06,717.17999,36.51,100.46
"2014-05-20",8.985286,8.05,707.59998,36.27,100.3
"2014-05-21",8.993552,8.04,707.29999,36.42,100.39
"2014-05-22",8.993552,8.04,712.44,36.58,101.34
"2014-05-23",9.001818,8.05,710.71997,36.6,102.13
"2014-05-26",9.01835,8.05,711.64001,36.76,101.9
"2014-05-27",9.01835,8.06,703.47998,36.56,102.09
"2014-05-28",9.043148,8.07,707.5,36.55,102.22
"2014-05-29",,8.08,,36.63,
"2014-05-30",9.061652,8.08,695.54999,36.28,102.54
"2014-06-02",9.061652,8.07,695.88,36.24,102.55
"2014-06-03",9.04507,8.06,698.04999,36.26,102.88
"2014-06-04",9.04507,8.06,693.27002,36.07,102.63
"2014-06-05",9.036779,8.06,695.91998,36.21,102.3
"2014-06-06",9.053361,8.09,713.21002,36.42,102.58
"2014-06-09",,8.09,,36.6,
"2014-06-10",9.061652,8.1,725.15997,36.87,103.09
"2014-06-11",9.061652,8.1,726.54999,36.73,102.95
"2014-06-12",9.053361,8.1,,36.77,103
"2014-06-13",9.061652,8.1,722.16998,36.66,102.63
"2014-06-16",9.061652,8.1,720.98999,36.52,102.37
"2014-06-17",9.061652,8.1,712.46002,36.37,101.87
"2014-06-18",9.04507,8.1,721.35999,36.57,101.45
"2014-06-19",9.053361,8.14,,36.68,101.32
"2014-06-20",9.061652,8.11,723.52002,36.74,100.47
"2014-06-23",,8.12,,36.6,
"2014-06-24",9.069942,8.15,722.65997,36.57,101.19
"2014-06-25",9.086523,8.14,718.90002,36.51,101.12
"2014-06-26",9.086523,8.14,718.46997,36.69,101.21
"2014-06-27",9.094814,8.14,717.60999,36.75,101.05
"2014-06-30",9.098036,8.14,717.04999,36.8,101.54
"2014-07-01",9.098036,8.13,718.59998,36.93,101.8
"2014-07-02",9.098036,8.13,717.60999,37.15,102.79
"2014-07-03",9.08972,8.13,721.52002,37.39,102.94
"2014-07-04",9.106352,8.16,724.53003,37.33,103.32
"2014-07-07",9.106352,8.17,720.28003,37.39,103.7
"2014-07-08",9.114669,8.17,720.20001,37.37,103.55
"2014-07-09",9.131301,8.14,,37.32,103.23
"2014-07-10",9.147934,8.13,724.62,37.15,102.89
"2014-07-11",9.139617,8.14,726.15002,37.28,102.22
"2014-07-14",9.139617,8.14,735.13,37.52,101.94
"2014-07-15",9.131301,8.13,734.52002,37.53,102.33
"2014-07-16",9.181199,8.17,734.81,37.57,102.73
"2014-07-17",9.139617,8.14,728.38,37.25,102.59
"2014-07-18",9.15625,8.13,740.84998,37.54,102.81
"2014-07-21",9.147934,8.14,745.71997,37.46,103.09
"2014-07-22",9.164567,8.13,751.19,37.87,103.47
"2014-07-23",9.172882,8.15,746.28003,37.93,104.02
"2014-07-24",9.172882,8.14,749.90002,37.98,104.32
"2014-07-25",9.181199,8.15,746.66998,37.75,104.41
"2014-07-28",9.189515,8.15,744.34998,37.69,104.58
"2014-07-29",9.197832,8.15,741.57001,37.65,104.6
"2014-07-30",9.197832,8.14,735.04999,37.54,104.44
"2014-07-31",9.227111,8.13,721.40002,37.01,104.42
"2014-08-01",9.185397,8.11,725.53998,36.83,103.81
"2014-08-04",9.177054,8.11,730.83002,37.16,104
"2014-08-05",9.177054,8.11,725.23999,36.95,103.79
"2014-08-06",9.177054,8.11,726.08002,36.84,103.24
"2014-08-07",9.160368,8.12,720.96997,36.51,103.07
"2014-08-08",9.152026,8.12,715.40002,36.59,102.29
"2014-08-11",9.152026,8.13,728.65002,36.96,103.13
"2014-08-12",9.168711,8.13,729.14001,37.06,103.71
"2014-08-13",9.177054,8.13,724.59998,37.26,104.62
