"","LU0093503810","IE00B11XZ988","LU1003076939","LU0006061385","LU0294219869"
"1",15.38,24.11,8.83,25.18,20.7
"2",15.38,24.11,8.83,25.18,20.7
"3",15.39,24.1,8.83,25.2,20.73
"4",15.4,24.13,8.83,25.22,20.68
"5",15.41,24.16,8.83,25.26,20.71
"6",15.41,24.06,8.85,25.27,20.68
"7",15.42,24.08,8.85,25.26,20.69
"8",15.41,24.24,8.83,25.27,20.76
"9",15.42,24.29,8.84,25.3,20.74
"10",15.42,24.22,8.84,25.33,20.8
"11",15.42,24.19,8.85,25.33,20.74
"12",15.42,24.22,8.85,25.35,20.71
"13",15.43,24.24,8.85,25.37,20.72
"14",15.44,24.23,8.85,25.41,20.72
"15",15.44,24.22,8.87,25.4,20.66
"16",15.44,24.16,8.87,25.4,20.64
"17",15.43,24.27,8.85,25.41,20.45
"18",15.43,24.29,8.84,25.43,20.33
"19",15.43,24.25,8.84,25.42,20.33
"20",15.43,24.3,8.83,25.43,20.43
"21",15.43,24.36,8.83,25.44,20.3
"22",15.43,24.34,8.84,25.46,20.29
"23",15.44,24.36,8.82,25.48,20.23
"24",15.44,24.45,8.83,25.51,20.1
"25",15.44,24.42,8.82,25.51,20.31
"26",15.45,24.41,8.82,25.53,20.35
"27",15.44,24.4,8.82,25.5,20.39
"28",15.45,24.49,8.83,25.52,20.42
"29",15.45,24.49,8.84,25.54,20.38
"30",15.46,24.43,8.84,25.53,20.46
"31",15.46,24.38,8.85,25.52,20.5
"32",15.46,24.44,8.84,25.53,20.45
"33",15.47,24.41,8.85,25.56,20.51
"34",15.47,24.44,8.86,25.58,20.57
"35",15.48,24.47,8.86,25.59,20.51
"36",15.48,24.44,8.86,25.6,20.42
"37",15.47,24.4,8.87,25.58,20.42
"38",15.48,24.43,8.87,25.58,20.5
"39",15.48,24.42,8.88,25.59,20.57
"40",15.49,24.47,8.87,25.62,20.55
"41",15.49,24.5,8.88,25.65,20.55
"42",15.5,24.53,8.89,25.69,20.56
"43",15.49,24.51,8.91,25.68,20.58
"44",15.49,24.55,8.89,25.72,20.41
"45",15.5,24.5,8.91,25.72,20.57
"46",15.51,24.5,8.92,25.72,20.62
"47",15.51,24.49,8.93,25.69,20.7
"48",15.51,24.41,8.94,25.68,20.64
"49",15.51,24.42,8.93,25.69,20.58
"50",15.52,24.42,8.94,25.67,20.54
"51",15.52,24.44,8.91,25.7,20.49
"52",15.51,24.5,8.91,25.7,20.45
"53",15.52,24.5,8.89,25.73,20.43
"54",15.51,24.46,8.9,25.73,20.51
"55",15.52,24.5,8.89,25.72,20.51
"56",15.52,24.32,8.91,25.73,20.54
"57",15.51,24.28,8.94,25.68,20.52
"58",15.52,24.28,8.94,25.69,20.5
"59",15.52,24.26,8.95,25.71,20.53
"60",15.52,24.28,8.94,25.73,20.6
"61",15.53,24.33,8.94,25.75,20.63
"62",15.54,24.32,8.94,25.77,20.76
"63",15.54,24.29,8.96,25.79,20.84
"64",15.54,24.31,8.96,25.77,20.91
"65",15.55,24.31,8.96,25.79,20.97
"66",15.55,24.27,8.97,25.76,20.96
"67",15.55,24.28,8.97,25.75,20.93
"68",15.57,24.38,8.96,25.8,20.99
"69",15.58,24.42,8.96,25.84,20.97
"70",15.58,24.42,8.96,25.82,20.96
"71",15.58,24.47,8.97,25.83,21.04
"72",15.58,24.53,8.96,25.86,20.96
"73",15.58,24.53,8.95,25.89,20.94
"74",15.58,24.49,8.95,25.88,20.92
"75",15.58,24.47,8.96,25.86,20.87
"76",15.59,24.46,8.97,25.91,20.89
"77",15.59,24.41,8.97,25.91,20.94
"78",15.59,24.41,8.98,25.895,20.945
"79",15.59,24.41,8.985,25.8875,20.95
"80",15.59,24.39,8.99,25.88,20.9
"81",15.59,24.44,8.99,25.9,20.87
"82",15.59,24.43,8.99,25.91,20.85
"83",15.58,24.44,8.99,25.93,20.79
"84",15.58,24.45,8.99,25.92,20.86
"85",15.59,24.44,9,25.9,20.94
"86",15.59,24.5,8.99,25.92,20.9
"87",15.595,24.53,9,25.94,20.91
"88",15.6,24.49,9.01,25.96,20.91
"89",15.6,24.5,9.01,25.99,20.91
"90",15.6,24.5,9.01,26,20.92
"91",15.6,24.55,9.01,26,21.03
"92",15.61,24.61,9.01,26.02,21.11
"93",15.61,24.61,9.01,26.02,21.14
"94",15.61,24.58,9.02,26.01,21.13
"95",15.61,24.62,9.01,26.02,21.21
"96",15.62,24.68,9,26.07,21.19
"97",15.62,24.71,9,26.09,21.14
"98",15.61,24.69,9.01,26.08,21.19
"99",15.61,24.71,9.01,26.07,21.23
"100",15.6,24.75,9.01,26.04,21.17
"101",15.6,24.75,9.02,26.04,21.21
"102",15.6,24.75,9.01,26.04,21.29
"103",15.61,24.77,9.01,26.05,21.31
"104",15.62,24.77,9.02,26.09,21.31
"105",15.62,24.77,9.02,26.09,21.3
"106",15.63,24.84,9.02,26.13,21.33
"107",15.625,24.83,9.025,26.13,21.38
"108",15.62,24.82,9.03,26.13,21.34
"109",15.63,24.76,9.04,26.13,21.33
"110",15.63,24.71,9.03,26.1,21.31
"111",15.63,24.71,9.02,26.08,21.33
"112",15.64,24.75,9.02,26.08,21.37
"113",15.67,24.74,9.04,26.17,21.51
"114",15.675,24.72,9.055,26.175,21.55
"115",15.68,24.69,9.07,26.18,21.52
"116",15.68,24.69,9.05,26.15,21.5
"117",15.68,24.73,9.05,26.15,21.46
"118",15.68,24.68,9.07,26.16,21.48
"119",15.68,24.67,9.07,26.19,21.39
"120",15.68,24.62,9.07,26.15,21.36
"121",15.67,24.66,9.06,26.14,21.38
"122",15.67,24.72,9.06,26.18,21.39
"123",15.67,24.73,9.07,26.15,21.36
"124",15.675,24.72,9.07,26.175,21.39
"125",15.68,24.75,9.07,26.2,21.41
"126",15.68,24.79,9.07,26.23,21.41
"127",15.68,24.84,9.07,26.26,21.42
"128",15.68,24.85,9.07,26.26,21.41
"129",15.68,24.86,9.06,26.25,21.41
"130",15.68,24.82,9.08,26.26,21.44
"131",15.68,24.76,9.09,26.23,21.46
"132",15.69,24.73,9.1,26.21,21.51
"133",15.69,24.725,9.09,26.23,21.51
"134",15.69,24.72,9.08,26.23,21.5
"135",15.69,24.76,9.07,26.25,21.52
"136",15.68,24.79,9.07,26.26,21.53
"137",15.67,24.84,9.06,26.27,21.49
"138",15.67,24.85,9.06,26.26,21.46
"139",15.67,24.81,9.07,26.26,21.49
"140",15.67,24.77,9.07,26.28,21.47
"141",15.68,24.75,9.08,26.3,21.48
"142",15.68,24.8,9.08,26.32,21.38
"143",15.68,24.78,9.08,26.34,21.42
"144",15.69,24.75,9.08,26.35,21.46
"145",15.69,24.78,9.09,26.34,21.52
"146",15.69,24.8,9.09,26.36,21.57
"147",15.69,24.74,9.1,26.35,21.54
"148",15.7,24.77,9.1,26.37,21.55
"149",15.7,24.74,9.1,26.39,21.54
"150",15.7,24.76,9.1,26.4,21.52
"151",15.7,24.68,9.1,26.39,21.51
"152",15.7,24.68,9.09,26.34,21.4
"153",15.7,24.75,9.07,26.34,21.3
"154",15.7,24.77,9.07,26.37,21.33
"155",15.7,24.76,9.07,26.35,21.3
"156",15.69,24.75,9.06,26.36,21.21
"157",15.68,24.81,9.06,26.37,21.14
"158",15.68,24.79,9.05,26.41,21.16
"159",15.68,24.8,9.06,26.39,21.28
"160",15.69,24.8,9.06,26.39,21.31
"161",15.68,24.85,9.05,26.39,21.35
"162",15.69,24.87,9.05,26.44,21.45
"163",15.695,24.91,9.06,26.46,21.46
"164",15.7,24.88,9.07,26.48,21.54
"165",15.7,24.86,9.07,26.48,21.58
"166",15.71,24.82,9.08,26.48,21.56
"167",15.71,24.84,9.07,26.47,21.56
"168",15.71,24.82,9.08,26.49,21.59
"169",15.73,24.82,9.09,26.54,21.59
"170",15.73,24.83,9.09,26.57,21.65
"171",15.73,24.85,9.08,26.6,21.67
"172",15.72,24.87,9.09,26.62,21.59
"173",15.72,24.87,9.09,26.61,21.64
"174",15.73,24.84,9.09,26.6,21.65
"175",15.73,24.81,9.09,26.54,21.61
"176",15.73,24.82,9.09,26.51,21.64
"177",15.75,24.81,9.08,26.52,21.75
"178",15.77,24.82,9.08,26.53,21.78
"179",15.77,24.78,9.08,26.54,21.8
"180",15.77,24.72,9.1,26.48,21.63
"181",15.77,24.67,9.09,26.44,21.68
"182",15.77,24.69,9.08,26.44,21.66
"183",15.77,24.62,9.09,26.4,21.6
"184",15.77,24.64,9.07,26.41,21.54
"185",15.76,24.65,9.07,26.39,21.59
"186",15.77,24.61,9.07,26.42,21.65
"187",15.77,24.57,9.08,26.39,21.61
"188",15.77,24.61,9.08,26.42,21.66
"189",15.77,24.63,9.08,26.48,21.6
"190",15.77,24.67,9.07,26.5,21.58
"191",15.77,24.63,9.07,26.52,21.67
