Date,Open,High,Low,Close,Adj Close,Volume,fund1date,fund1
2014/1/2,32.310001,32.310001,31.82,31.82,31.82,112900,2014/1/2,2321.978
2014/1/3,31.799999,31.799999,31.559999,31.639999,31.639999,21300,2014/1/3,2290.779
2014/1/6,31.65,31.68,31.48,31.610001,31.610001,121300,2014/1/6,2238.637
2014/1/7,31.629999,31.75,31.57,31.629999,31.629999,28300,2014/1/7,2238.001
2014/1/8,31.65,31.67,31.34,31.34,31.34,21200,2014/1/8,2241.911
2014/1/9,31.33,31.379999,30.969999,31.120001,31.120001,114800,2014/1/9,2222.221
2014/1/10,31.16,31.389999,31.110001,31.389999,31.389999,19600,2014/1/10,2204.851
2014/1/13,31.33,31.34,31.18,31.219999,31.219999,6000,2014/1/13,2193.679
2014/1/14,31.41,31.41,31.129999,31.209999,31.209999,71400,2014/1/14,2212.846
2014/1/15,31.370001,31.610001,31.360001,31.49,31.49,53700,2014/1/15,2208.941
2014/1/16,31.57,31.57,31.309999,31.42,31.42,32500,2014/1/16,2211.844
2014/1/17,31.51,31.620001,31.5,31.530001,31.530001,7500,2014/1/17,2178.488
2014/1/21,31.709999,31.809999,31.58,31.610001,31.610001,17300,2014/1/20,2165.993
2014/1/22,31.76,32.009998,31.76,31.969999,31.969999,26200,2014/1/21,2187.41
2014/1/23,32.049999,32.150002,31.950001,31.969999,31.969999,28500,2014/1/22,2243.796
2014/1/24,32,32.130001,31.93,32.080002,32.080002,16700,2014/1/23,2231.889
2014/1/27,32.040001,32.040001,31.690001,31.83,31.83,7300,2014/1/24,2245.678
2014/1/28,31.870001,32.07,31.780001,32.02,32.02,16200,2014/1/27,2215.919
2014/1/29,31.950001,32.23,31.889999,32.119999,32.119999,99100,2014/1/28,2219.855
2014/1/30,32.279999,32.279999,32.040001,32.080002,32.080002,14500,2014/1/29,2227.781
2014/1/31,32.040001,32.110001,31.85,31.9,31.9,32600,2014/1/30,2202.45
2014/2/3,31.799999,31.860001,31.629999,31.82,31.82,93300,2014/2/7,2212.483
2014/2/4,32.009998,32.040001,31.92,31.99,31.99,31400,2014/2/10,2267.534
2014/2/5,32.110001,32.150002,32,32.049999,32.049999,7900,2014/2/11,2285.562
2014/2/6,32.299999,32.369999,32.099998,32.16,32.16,13300,2014/2/12,2291.246
2014/2/7,32.299999,32.68,32.299999,32.68,32.68,64400,2014/2/13,2279.554
2014/2/10,32.669998,32.68,32.450001,32.490002,32.490002,11900,2014/2/14,2295.575
2014/2/11,32.66,32.700001,32.540001,32.599998,32.599998,5500,2014/2/17,2311.647
2014/2/12,32.830002,32.880001,32.66,32.709999,32.709999,6300,2014/2/18,2282.442
2014/2/13,32.689999,32.880001,32.599998,32.869999,32.869999,40100,2014/2/19,2308.656
2014/2/14,32.759998,33.009998,32.759998,32.919998,32.919998,11500,2014/2/20,2287.436
2014/2/18,33.189999,33.57,33.189999,33.540001,33.540001,5500,2014/2/21,2264.294
2014/2/19,33.57,33.73,33.509998,33.599998,33.599998,36600,2014/2/24,2214.509
2014/2/20,33.509998,33.700001,33.509998,33.700001,33.700001,44900,2014/2/25,2157.909
2014/2/21,33.610001,33.68,33.459999,33.549999,33.549999,12400,2014/2/26,2163.405
2014/2/24,33.68,33.75,33.5,33.630001,33.630001,5300,2014/2/27,2154.108
2014/2/25,33.459999,33.5,33.360001,33.389999,33.389999,11400,2014/2/28,2178.971
2014/2/26,33.439999,33.560001,33.369999,33.380001,33.380001,17100,2014/3/3,2190.37
2014/2/27,33.310001,33.360001,33.25,33.27,33.27,5400,2014/3/4,2184.273
2014/2/28,33.279999,33.5,33.27,33.439999,33.439999,33500,2014/3/5,2163.976
2014/3/3,33.970001,34.139999,33.830002,34.029999,34.029999,55200,2014/3/6,2173.634
2014/3/4,33.689999,33.810001,33.650002,33.790001,33.790001,4000,2014/3/7,2168.358
2014/3/5,33.689999,33.689999,33.330002,33.360001,33.360001,37000,2014/3/10,2097.787
2014/3/6,33.380001,33.630001,33.360001,33.630001,33.630001,14800,2014/3/11,2108.661
2014/3/7,33.639999,33.709999,33.619999,33.68,33.68,5600,2014/3/12,2114.134
2014/3/10,33.389999,33.48,33.32,33.330002,33.330002,11000,2014/3/13,2140.333
2014/3/11,33.369999,33.41,33.240002,33.259998,33.259998,5000,2014/3/14,2122.836
2014/3/12,32.98,33.169998,32.98,33.110001,33.110001,12900,2014/3/17,2143.038
2014/3/13,33.099998,35.900002,32.93,33.040001,33.040001,28000,2014/3/18,2138.133
2014/3/14,33.040001,33.240002,33.040001,33.200001,33.200001,11900,2014/3/19,2120.87
2014/3/17,33.040001,33.049999,32.830002,32.860001,32.860001,29300,2014/3/20,2086.967
2014/3/18,32.880001,33.209999,32.84,33.209999,33.209999,5700,2014/3/21,2158.798
2014/3/19,32.900002,33.240002,32.900002,33.130001,33.130001,7800,2014/3/24,2176.554
2014/3/20,32.84,33.02,32.84,32.98,32.98,32200,2014/3/25,2174.44
2014/3/21,33.259998,33.259998,33.07,33.09,33.09,5500,2014/3/26,2171.047
2014/3/24,33.220001,33.220001,32.98,32.98,32.98,7100,2014/3/27,2155.707
2014/3/25,33.139999,33.200001,33.040001,33.060001,33.060001,23600,2014/3/28,2151.965
2014/3/26,33.220001,33.220001,33.060001,33.169998,33.169998,6700,2014/3/31,2146.305
2014/3/27,33.389999,33.560001,33.380001,33.540001,33.540001,7100,2014/4/1,2163.115
2014/3/28,33.959999,33.959999,33.52,33.57,33.57,6500,2014/4/2,2180.727
2014/3/31,33.529999,33.549999,33.099998,33.490002,33.490002,10900,2014/4/3,2165.008
2014/4/1,33.400002,33.419998,32.950001,32.970001,32.970001,12800,2014/4/4,2185.472
2014/4/2,32.889999,33.02,32.73,32.810001,32.810001,11700,2014/4/8,2237.316
2014/4/3,32.900002,33.18,32.900002,33.150002,33.150002,13300,2014/4/9,2238.62
2014/4/4,36.130001,36.130001,33.200001,33.279999,33.279999,6400,2014/4/10,2273.761
