日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2014/1/2,'399300,沪深300,2321.978,2325.991,2310.653,2323.433,2330.026,-8.048,-0.3454,4519429100,49012211124
2014/1/3,'399300,沪深300,2290.779,2314.836,2280.887,2311.968,2321.978,-31.199,-1.3436,5978264500,57739709924
2014/1/6,'399300,沪深300,2238.637,2286.371,2229.334,2286.371,2290.779,-52.142,-2.2762,6630040300,59979360128
2014/1/7,'399300,沪深300,2238.001,2246.791,2218.647,2222.306,2238.637,-0.636,-0.0284,4375310300,42565648108
2014/1/8,'399300,沪深300,2241.911,2262.584,2228.418,2240.635,2238.001,3.91,0.1747,5134885400,50691488898
2014/1/9,'399300,沪深300,2222.221,2258.894,2220.802,2236.967,2241.911,-19.69,-0.8783,5598704100,54399491333
2014/1/10,'399300,沪深300,2204.851,2224.494,2200.215,2216.521,2222.221,-17.37,-0.7817,5416929300,47572309533
2014/1/13,'399300,沪深300,2193.679,2222.072,2183.597,2206.996,2204.851,-11.172,-0.5067,5012277200,46123003754
2014/1/14,'399300,沪深300,2212.846,2214.124,2179.908,2192.844,2193.679,19.167,0.8737,5404994700,46785099888
2014/1/15,'399300,沪深300,2208.941,2215.903,2193.802,2210.024,2212.846,-3.905,-0.1765,4896239500,45755914348
2014/1/16,'399300,沪深300,2211.844,2227.262,2201.56,2209.448,2208.941,2.903,0.1314,5229890200,49842784005
2014/1/17,'399300,沪深300,2178.488,2205.972,2175.876,2203.821,2211.844,-33.356,-1.5081,5027315500,46268159163
2014/1/20,'399300,沪深300,2165.993,2182.463,2156.458,2173.651,2178.488,-12.495,-0.5736,4056015400,39157227541
2014/1/21,'399300,沪深300,2187.41,2197.923,2168.42,2168.42,2165.993,21.417,0.9888,4030624700,38590992772
2014/1/22,'399300,沪深300,2243.796,2244.133,2187.534,2190.432,2187.41,56.386,2.5778,7064137500,64803357078
2014/1/23,'399300,沪深300,2231.889,2248.924,2228.057,2242.245,2243.796,-11.907,-0.5307,5634595100,55726417393
2014/1/24,'399300,沪深300,2245.678,2257.355,2222.893,2225.758,2231.889,13.789,0.6178,6116767000,59563444873
2014/1/27,'399300,沪深300,2215.919,2233.231,2211.799,2233.015,2245.678,-29.759,-1.3252,7034424600,63503992484
2014/1/28,'399300,沪深300,2219.855,2233.257,2205.972,2220.785,2215.919,3.936,0.1776,5326913000,49408754555
2014/1/29,'399300,沪深300,2227.781,2233.057,2219.928,2225.711,2219.855,7.926,0.3571,5022271700,48788682770
2014/1/30,'399300,沪深300,2202.45,2223.163,2200.224,2223.163,2227.781,-25.331,-1.1371,4363230400,43475960839
2014/2/7,'399300,沪深300,2212.483,2212.498,2177.117,2187.343,2202.45,10.033,0.4555,5045931500,49597106433
2014/2/10,'399300,沪深300,2267.534,2270.194,2221.54,2221.54,2212.483,55.051,2.4882,8306571600,81103244127
2014/2/11,'399300,沪深300,2285.562,2296.516,2262.599,2267.735,2267.534,18.028,0.795,9922982900,92688969126
2014/2/12,'399300,沪深300,2291.246,2294.317,2276.444,2286.187,2285.562,5.684,0.2487,7659216100,73487379679
2014/2/13,'399300,沪深300,2279.554,2307.474,2278.261,2288.451,2291.246,-11.692,-0.5103,9621778900,87352124305
2014/2/14,'399300,沪深300,2295.575,2295.852,2274.429,2278.4,2279.554,16.021,0.7028,6708299700,64613327719
2014/2/17,'399300,沪深300,2311.647,2315.579,2293.552,2308.791,2295.575,16.072,0.7001,8783166600,86871352624
2014/2/18,'399300,沪深300,2282.442,2310.309,2276.108,2310.309,2311.647,-29.205,-1.2634,8704974300,88107267954
2014/2/19,'399300,沪深300,2308.656,2317.42,2274.152,2280.927,2282.442,26.214,1.1485,9935256100,88341900374
2014/2/20,'399300,沪深300,2287.436,2331.698,2286.203,2314.088,2308.656,-21.22,-0.9191,10643953300,91771595713
2014/2/21,'399300,沪深300,2264.294,2287.869,2250.652,2284.03,2287.436,-23.142,-1.0117,7636899300,69908188663
2014/2/24,'399300,沪深300,2214.509,2246.715,2194.164,2246.715,2264.294,-49.785,-2.1987,8921593900,79599146389
2014/2/25,'399300,沪深300,2157.909,2225.209,2150.095,2216.515,2214.509,-56.6,-2.5559,9323755100,88306571728
2014/2/26,'399300,沪深300,2163.405,2164.698,2137.079,2147.737,2157.909,5.496,0.2547,7799329700,68640581126
2014/2/27,'399300,沪深300,2154.108,2180.063,2150.135,2170.81,2163.405,-9.297,-0.4297,9010429600,81587999653
2014/2/28,'399300,沪深300,2178.971,2180.474,2133.548,2149.446,2154.108,24.863,1.1542,7666805700,70216798972
2014/3/3,'399300,沪深300,2190.37,2194.224,2167.91,2173.907,2178.971,11.399,0.5231,8207231400,69408739897
2014/3/4,'399300,沪深300,2184.273,2188.601,2161.589,2183.858,2190.37,-6.097,-0.2784,7306925000,64691438035
2014/3/5,'399300,沪深300,2163.976,2189.093,2159.595,2187.352,2184.273,-20.297,-0.9292,6133201500,55669679402
2014/3/6,'399300,沪深300,2173.634,2181.427,2136.454,2159.397,2163.976,9.658,0.4463,6909376700,61495023657
2014/3/7,'399300,沪深300,2168.358,2189.39,2161.436,2170.043,2173.634,-5.276,-0.2427,6426517700,58693177974
2014/3/10,'399300,沪深300,2097.787,2149.676,2095.067,2149.676,2168.358,-70.571,-3.2546,7141640700,63086412572
2014/3/11,'399300,沪深300,2108.661,2118.79,2088.729,2092.608,2097.787,10.874,0.5184,5762124300,53075782462
2014/3/12,'399300,沪深300,2114.134,2130.586,2090.757,2102.801,2108.661,5.473,0.2595,7006974700,60115239174
2014/3/13,'399300,沪深300,2140.333,2149.436,2115.986,2119.547,2114.134,26.199,1.2392,6922602800,59163094375
2014/3/14,'399300,沪深300,2122.836,2140.384,2109.575,2129.87,2140.333,-17.497,-0.8175,5861773700,49805247510
2014/3/17,'399300,沪深300,2143.038,2143.196,2118.953,2132.793,2122.836,20.202,0.9517,5240944500,47571288733
2014/3/18,'399300,沪深300,2138.133,2152.462,2134.923,2146.124,2143.038,-4.905,-0.2289,5535413200,54188441365
2014/3/19,'399300,沪深300,2120.87,2131.283,2101.285,2131.283,2138.133,-17.263,-0.8074,5930390500,55283943974
2014/3/20,'399300,沪深300,2086.967,2134.792,2086.497,2116.185,2120.87,-33.903,-1.5985,6763128500,58951601970
2014/3/21,'399300,沪深300,2158.798,2163.225,2077.759,2079.871,2086.967,71.831,3.4419,10402480700,83560511769
2014/3/24,'399300,沪深300,2176.554,2186.731,2150.871,2161.898,2158.798,17.756,0.8225,10449198400,81203913733
2014/3/25,'399300,沪深300,2174.44,2191.491,2164.669,2170.78,2176.554,-2.114,-0.0971,8687751000,67548473561
2014/3/26,'399300,沪深300,2171.047,2186.078,2165.217,2181.231,2174.44,-3.393,-0.156,5827617600,50116023097
2014/3/27,'399300,沪深300,2155.707,2186.893,2146.916,2168.344,2171.047,-15.34,-0.7066,7127513200,62175860350
2014/3/28,'399300,沪深300,2151.965,2172.668,2144.584,2154.515,2155.707,-3.742,-0.1736,7008607300,60123341093
2014/3/31,'399300,沪深300,2146.305,2165.254,2134.422,2156.054,2151.965,-5.66,-0.263,5545748800,48105020054
2014/4/1,'399300,沪深300,2163.115,2170.095,2141.151,2143.717,2146.305,16.81,0.7832,4886640300,43659064291
2014/4/2,'399300,沪深300,2180.727,2182.683,2164.008,2166.067,2163.115,17.612,0.8142,6503925700,56777151867
