"rownames(finalfund_all)","LU0997586788","LU0061175625","KYG9318Y1061","LU1046420805","LU0997587240","base1","base2"
2014-01-01,10,34.77,15.2,7.24,8.1588,2321.978,1831.97998
2014-01-02,10,34.77,15.2,7.24,8.1588,2321.978,1831.97998
2014-01-03,10,35.08,15.14,7.24,8.1588,2290.779,1831.369995
2014-01-06,10,35.08,14.95,7.24,8.1588,2238.637,1826.77002
2014-01-07,10,35.16,15.09,7.24,8.1588,2238.001,1837.880005
2014-01-08,10,35.18,15.19,7.24,8.1588,2241.911,1837.48999
2014-01-09,10,35.12,15.1,7.24,8.1588,2222.221,1838.130005
2014-01-10,10,35.32,15.21,7.24,8.1588,2204.851,1842.369995
2014-01-13,10.04,35.43,15.21,7.24,8.1515,2193.679,1819.199951
2014-01-14,9.98,35.29,15.21,7.24,8.167,2212.846,1838.880005
2014-01-15,10.06,35.57,15.3,7.24,8.2486,2208.941,1848.380005
2014-01-16,10.02,35.41,15.33,7.24,8.2649,2211.844,1845.890015
2014-01-17,10.04,35.63,15.33,7.24,8.273,2178.488,1838.699951
2014-01-20,10.06,35.69,15.37,7.24,8.3057,2165.993,1841.25
2014-01-21,10.04,35.63,15.32,7.24,8.322,2187.41,1843.800049
2014-01-22,10.03,35.72,15.37,7.24,8.3302,2243.796,1844.859985
2014-01-23,9.96,35.36,15.4,7.24,8.2649,2231.889,1828.459961
2014-01-24,9.79,34.65,15.34,7.24,8.1205,2245.678,1790.290039
2014-01-27,9.7,34.42,15.17,7.24,8.034,2215.919,1781.560059
2014-01-28,9.81,34.83,15.17,7.24,8.0495,2219.855,1792.5
2014-01-29,9.78,34.71,15.17,7.24,8.0038,2227.781,1774.199951
2014-01-30,9.79,34.78,15.12,7.24,8.0397,2202.45,1794.189941
2014-01-31,9.79,34.82,15.095,7.24,8.0209,2207.4665,1782.589966
2014-02-03,9.71,34.38,15.0825,7.24,7.9736,2209.97475,1741.890015
2014-02-04,9.69,34.34,15.07625,7.24,7.9287,2211.228875,1755.199951
2014-02-05,9.7,34.36,15.07,7.24,7.9581,2211.8559375,1751.640015
2014-02-06,9.78,34.59,15.2,7.24,8.0585,2212.16946875,1773.430054
2014-02-07,9.85,34.85,15.32,7.24,8.1009,2212.483,1797.02002
2014-02-10,9.87,34.93,15.29,7.24,8.118,2267.534,1799.839966
2014-02-11,9.94,35.24,15.32,7.24,8.1996,2285.562,1819.75
2014-02-12,10.01,35.65,15.5,7.24,8.2241,2291.246,1819.26001
2014-02-13,10.01,35.6,15.43,7.24,8.2404,2279.554,1829.829956
2014-02-14,10.07,35.89,15.46,7.24,8.2894,2295.575,1838.630005
2014-02-17,10.13,36.05,15.57,7.24,8.3138,2311.647,1839.6950075
2014-02-18,10.16,36.05,15.67,7.24,8.322,2282.442,1840.76001
2014-02-19,10.19,36.2,15.77,7.24,8.3465,2308.656,1828.75
2014-02-20,10.21,36.25,15.67,7.24,8.3465,2287.436,1839.780029
2014-02-21,10.27,36.42,15.79,7.24,8.3791,2264.294,1836.25
2014-02-24,10.31,36.57,15.83,7.24,8.4281,2214.509,1847.609985
2014-02-25,10.32,36.66,15.88,7.24,8.4199,2157.909,1845.119995
2014-02-26,10.31,36.67,15.88,7.24,8.3954,2163.405,1845.160034
2014-02-27,10.28,36.55,15.94,7.24,8.4036,2154.108,1854.290039
2014-02-28,10.37,36.84,15.925,7.24,8.4281,2178.971,1859.449951
2014-03-03,10.16,36.09,15.91,7.24,8.2625,2190.37,1845.72998
2014-03-04,10.33,36.71,15.91,7.24,8.4261,2184.273,1873.910034
2014-03-05,10.32,36.75,16.13,7.24,8.4261,2163.976,1873.810059
2014-03-06,10.4,36.88,16.24,7.24,8.4343,2173.634,1877.030029
2014-03-07,10.36,36.7,16.14,7.24,8.3688,2168.358,1878.040039
2014-03-10,10.28,36.33,16.1,7.24,8.3525,2097.787,1877.170044
2014-03-11,10.25,36.26,16.17,7.24,8.3606,2108.661,1867.630005
2014-03-12,10.17,35.89,16.1,7.24,8.287,2114.134,1868.199951
2014-03-13,10.11,35.72,16.18,7.24,8.197,2140.333,1846.339966
2014-03-14,10.02,35.37,16.13,7.24,8.1807,2122.836,1841.130005
2014-03-17,10.13,35.77,16.17,7.24,8.2461,2143.038,1858.829956
2014-03-18,10.16,35.84,16.15,7.24,8.3034,2138.133,1872.25
2014-03-19,10.18,35.95,16.11,7.24,8.287,2120.87,1860.77002
2014-03-20,10.12,35.75,15.86,7.24,8.2625,2086.967,1872.01001
2014-03-21,10.08,35.56,15.86,7.24,8.287,2158.798,1866.52002
2014-03-24,9.97,35.18,15.87,7.24,8.2216,2176.554,1857.439941
2014-03-25,10.04,35.43,16,7.24,8.3197,2174.44,1865.619995
2014-03-26,10.08,35.61,16.14,7.24,8.3525,2171.047,1852.560059
2014-03-27,10.05,35.63,16.2,7.24,8.3525,2155.707,1849.040039
2014-03-28,10.05,35.62,16.14,7.24,8.4016,2151.965,1857.619995
2014-03-31,10.12,35.89,16.35,7.24,8.4179,2146.305,1872.339966
2014-04-01,10.19,36.06,16.41,7.24,8.4323,2163.115,1885.52002
2014-04-02,10.22,36.24,16.46,7.24,8.4323,2180.727,1890.900024
2014-04-03,10.21,36.18,16.47,7.24,8.4241,2165.008,1888.77002
2014-04-04,10.23,36.29,16.475,7.24,8.4488,2185.472,1865.089966
2014-04-07,10.11,35.81,16.48,7.24,8.3749,2211.394,1845.040039
2014-04-08,9.96,35.36,16.54,7.24,8.3667,2237.316,1851.959961
2014-04-09,10.01,35.53,16.68,7.24,8.3913,2238.62,1872.180054
2014-04-10,9.99,35.37,16.67,7.22,8.3667,2273.761,1833.079956
2014-04-11,9.84,34.77,16.47,7.15,8.2847,2270.666,1815.689941
2014-04-14,9.73,34.49,16.21,7.18,8.3257,2268.613,1830.609985
2014-04-15,9.63,34.15,16.47,7.14,8.2765,2229.463,1842.97998
2014-04-16,9.73,34.54,16.53,7.2,8.3503,2232.526,1862.310059
2014-04-17,9.83,34.87,16.51,7.23,8.3831,2224.803,1864.849976
2014-04-18,9.83,34.87,16.515,7.23,8.3831,2224.479,1868.3699955
2014-04-21,9.83,34.88,16.5175,7.23,8.3749,2187.248,1871.890015
2014-04-22,9.94,35.33,16.52,7.33,8.4898,2196.795,1879.550049
2014-04-23,9.92,35.18,16.38,7.32,8.4816,2194.668,1875.390015
2014-04-24,9.93,35.2,16.38,7.33,8.498,2190.474,1878.609985
2014-04-25,9.85,34.94,16.05,7.31,8.457,2167.826,1863.400024
