"","LU0997586788","LU0061175625","KYG9318Y1061","LU1046420805","LU0997587240"
"2014-01-01",,,,,
"2014-01-02",,34.77,15.2,,
"2014-01-03",,35.08,15.14,,
"2014-01-06",,35.08,14.95,,
"2014-01-07",,35.16,15.09,,
"2014-01-08",,35.18,15.19,,
"2014-01-09",,35.12,15.1,,
"2014-01-10",10,35.32,15.21,,8.1588
"2014-01-13",10.04,35.43,15.21,,8.1515
"2014-01-14",9.98,35.29,15.21,,8.167
"2014-01-15",10.06,35.57,15.3,,8.2486
"2014-01-16",10.02,35.41,15.33,,8.2649
"2014-01-17",10.04,35.63,15.33,,8.273
"2014-01-20",10.06,35.69,15.37,,8.3057
"2014-01-21",10.04,35.63,15.32,,8.322
"2014-01-22",10.03,35.72,15.37,,8.3302
"2014-01-23",9.96,35.36,15.4,,8.2649
"2014-01-24",9.79,34.65,15.34,,8.1205
"2014-01-27",9.7,34.42,15.17,,8.034
"2014-01-28",9.81,34.83,15.17,,8.0495
"2014-01-29",9.78,34.71,15.17,,8.0038
"2014-01-30",9.79,34.78,,,8.0397
"2014-01-31",9.79,34.82,,,8.0209
"2014-02-03",9.71,34.38,,,7.9736
"2014-02-04",9.69,34.34,,,7.9287
"2014-02-05",9.7,34.36,15.07,,7.9581
"2014-02-06",9.78,34.59,15.2,,8.0585
"2014-02-07",9.85,34.85,15.32,,8.1009
"2014-02-10",9.87,34.93,15.29,,8.118
"2014-02-11",9.94,35.24,15.32,,8.1996
"2014-02-12",10.01,35.65,15.5,,8.2241
"2014-02-13",10.01,35.6,15.43,,8.2404
"2014-02-14",10.07,35.89,15.46,,8.2894
"2014-02-17",10.13,36.05,15.57,,8.3138
"2014-02-18",10.16,36.05,15.67,,8.322
"2014-02-19",10.19,36.2,15.77,,8.3465
"2014-02-20",10.21,36.25,15.67,,8.3465
"2014-02-21",10.27,36.42,15.79,,8.3791
"2014-02-24",10.31,36.57,15.83,,8.4281
"2014-02-25",10.32,36.66,15.88,,8.4199
"2014-02-26",10.31,36.67,15.88,,8.3954
"2014-02-27",10.28,36.55,15.94,,8.4036
"2014-02-28",10.37,36.84,,,8.4281
"2014-03-03",10.16,36.09,15.91,,8.2625
"2014-03-04",10.33,36.71,15.91,,8.4261
"2014-03-05",10.32,36.75,16.13,,8.4261
"2014-03-06",10.4,36.88,16.24,,8.4343
"2014-03-07",10.36,36.7,16.14,,8.3688
"2014-03-10",10.28,36.33,16.1,,8.3525
"2014-03-11",10.25,36.26,16.17,,8.3606
"2014-03-12",10.17,35.89,16.1,,8.287
"2014-03-13",10.11,35.72,16.18,,8.197
"2014-03-14",10.02,35.37,16.13,,8.1807
"2014-03-17",10.13,35.77,16.17,,8.2461
"2014-03-18",10.16,35.84,16.15,,8.3034
"2014-03-19",10.18,35.95,16.11,,8.287
"2014-03-20",10.12,35.75,15.86,,8.2625
"2014-03-21",10.08,35.56,15.86,,8.287
"2014-03-24",9.97,35.18,15.87,,8.2216
"2014-03-25",10.04,35.43,16,,8.3197
"2014-03-26",10.08,35.61,16.14,,8.3525
"2014-03-27",10.05,35.63,16.2,,8.3525
"2014-03-28",10.05,35.62,16.14,,8.4016
"2014-03-31",10.12,35.89,16.35,,8.4179
"2014-04-01",10.19,36.06,16.41,,8.4323
"2014-04-02",10.22,36.24,16.46,,8.4323
"2014-04-03",10.21,36.18,16.47,,8.4241
"2014-04-04",10.23,36.29,,,8.4488
"2014-04-07",10.11,35.81,16.48,,8.3749
"2014-04-08",9.96,35.36,16.54,,8.3667
"2014-04-09",10.01,35.53,16.68,7.24,8.3913
"2014-04-10",9.99,35.37,16.67,7.22,8.3667
"2014-04-11",9.84,34.77,16.47,7.15,8.2847
"2014-04-14",9.73,34.49,16.21,7.18,8.3257
"2014-04-15",9.63,34.15,16.47,7.14,8.2765
"2014-04-16",9.73,34.54,16.53,7.2,8.3503
"2014-04-17",9.83,34.87,16.51,7.23,8.3831
"2014-04-18",9.83,34.87,,7.23,8.3831
"2014-04-21",9.83,34.88,,7.23,8.3749
"2014-04-22",9.94,35.33,16.52,7.33,8.4898
"2014-04-23",9.92,35.18,16.38,7.32,8.4816
"2014-04-24",9.93,35.2,16.38,7.33,8.498
"2014-04-25",9.85,34.94,16.05,7.31,8.457
"2014-04-28",9.83,34.87,16.08,7.4,8.5718
"2014-04-29",9.89,35.14,16.26,7.47,8.6538
"2014-04-30",9.9,35.19,16.09,7.48,8.6538
"2014-05-01",9.9,35.21,,7.49,8.6683
"2014-05-02",9.92,35.23,16.28,7.46,8.6436
"2014-05-05",9.91,35.15,16.35,7.46,8.6354
"2014-05-06",9.93,35.28,,7.44,8.6107
"2014-05-07",9.9,35.18,16.4,7.41,8.5778
"2014-05-08",9.94,35.38,16.48,7.47,8.6436
"2014-05-09",9.9,35.31,16.18,7.47,8.6436
"2014-05-12",9.96,35.51,16.02,7.52,8.693
"2014-05-13",9.97,35.59,15.99,7.54,8.7176
"2014-05-14",9.91,35.34,16.12,7.57,8.7505
"2014-05-15",9.79,34.91,16.14,7.55,8.7341
"2014-05-16",9.68,34.56,16.16,7.58,8.767
"2014-05-19",9.64,34.4,16.2,7.57,8.7505
"2014-05-20",9.68,34.57,16.22,7.54,8.7176
"2014-05-21",9.72,34.82,16.11,7.57,8.7423
"2014-05-22",9.76,34.94,16.31,7.57,8.7423
"2014-05-23",9.82,35.11,16.34,7.57,8.7423
