ISIN,Geographical Focus,Asset Class
LU0107464264,International,Equity
LU0094541447,European Region,Equity
LU0011963831,U.S.,Equity
LU0011963674,Asian Pacific Region,Equity
LU0132414144,International,Fixed Income
LU0011963245,Asian Pacific Region,Equity
LU0132412106,International,Equity
LU0011963328,International,Equity
LU0231459107,Asian Pacific Region,Equity
LU0231483743,Greater China,Equity
LU0231490524,Asian Pacific Region,Equity
LU0231460295,Greater China,Equity
LU0231462077,Asian Pacific Region,Equity
LU0231455378,Asian Pacific Region,Equity
LU0231457747,International,Equity
LU0231459958,Asian Pacific Region,Equity
LU0278937759,International,Equity
LU0094547139,International,Equity
LU0396314238,Latin American Region,Equity
LU0094548533,Asian Pacific Region,Fixed Income
LU0278936439,Asian Pacific Region,Equity
LU0231454991,U.S.,Equity
LU0396313180,Asian Pacific Region,Equity
LU0505664713,European Region,Equity
LU0505661966,European Region,Equity
LU0505663152,International,Equity
LU0278933410,Asian Pacific Region,Equity
LU0278932362,International,Equity
LU0119176310,European Region,Fixed Income
LU0011963757,European Region,Equity
LU0912262788,Asian Pacific Region,Equity
LU0941570995,Asian Pacific Region,Equity
LU0728926402,International,Equity
LU0566484027,U.S.,Equity
LU1124234946,International,Mixed Allocation
LU1124234862,International,Mixed Allocation
HK0000065166,International,Fixed Income
HK0000107257,Asian Pacific Region,Mixed Allocation
HK0000107265,Asian Pacific Region,Mixed Allocation
HK0000194255,Asian Pacific Region,Mixed Allocation
HK0000065216,Asian Pacific Region,Fixed Income
HK0000081361,Asian Pacific Region,Fixed Income
HK0000074176,Greater China,Equity
HK0000141801,Greater China,Equity
HK0000176732,Asian Pacific Region,Fixed Income
HK0000176740,Asian Pacific Region,Fixed Income
HK0000224201,Asian Pacific Region,Equity
HK0000224227,Asian Pacific Region,Equity
HK0000065125,Asian Pacific Region,Equity
HK0000288032,Greater China,Fixed Income
HK0000288040,Greater China,Fixed Income
HK0000288065,Greater China,Fixed Income
HK0000288057,Greater China,Fixed Income
HK0000257433,Greater China,Mixed Allocation
HK0000257441,Greater China,Mixed Allocation
