date,LU0161332480,LU0205439572,LU0197229882,LU0261947096,LU0329678337
2014/1/2,25752,17.26,26.8,18.82,11.85
2014/1/3,25574,17.14,27.05,18.62,11.81
2014/1/6,25736,16.99,26.94,18.48,11.73
2014/1/7,25822,17.0,26.95,18.56,11.76
2014/1/8,25988,17.03,26.99,18.66,11.82
2014/1/9,25887,16.89,26.84,18.44,11.73
2014/1/10,25817,16.99,27.35,18.45,11.8
2014/1/13,25626,17.08,27.77,18.55,11.97
2014/1/14,25606,16.99,27.62,18.53,11.96
2014/1/15,25956,17.02,27.92,18.55,12.03
2014/1/16,25796,16.97,27.86,18.51,11.99
2014/1/17,26042,16.95,27.5,18.56,11.98
2014/1/20,25956,16.94,27.84,18.51,11.97
2014/1/21,25815,16.89,27.52,18.45,11.91
2014/1/22,25944,16.99,27.72,18.57,12.01
2014/1/23,25533,16.73,27.52,18.29,11.88
2014/1/24,24721,16.36,26.74,17.89,11.58
2014/1/27,24205,16.21,26.21,17.64,11.37
2014/1/28,24468,16.34,26.38,17.87,11.48
2014/1/29,24465,16.38,26.23,17.92,11.55
2014/1/30,24445,16.42,26.25,17.97,11.61
2014/1/31,23955,16.35,26.28,17.86,11.56
2014/2/3,23257,16.19,26.06,17.7,11.43
2014/2/4,22875,16.2,26.16,17.61,11.36
2014/2/5,22990,16.08,26.16,17.43,11.32
2014/2/6,23265,16.34,26.58,17.81,11.5
2014/2/7,23707,16.46,26.63,17.98,11.57
2014/2/10,23625,16.44,26.34,17.97,11.52
2014/2/11,23918,16.68,26.54,18.25,11.65
2014/2/12,24072,16.76,26.77,18.32,11.69
2014/2/13,23697,16.69,26.27,18.33,11.64
2014/2/14,23558,16.87,26.78,18.5,11.77
2014/2/17,23730,16.92,26.82,18.55,11.88
2014/2/18,24221,16.93,26.93,18.58,11.9
2014/2/19,24209,16.99,26.98,18.57,11.94
2014/2/20,23628,16.9,26.94,18.35,11.85
2014/2/21,24057,16.96,27.29,18.49,11.94
2014/2/24,24106,17.03,27.61,18.43,11.98
2014/2/25,23994,16.98,27.61,18.42,11.94
2014/2/26,23855,17.02,27.69,18.57,12.0
2014/2/27,23598,17.17,27.87,18.74,12.12
2014/2/28,23756,17.17,28.04,18.81,12.17
2014/3/3,23123,17.01,27.52,18.64,11.99
2014/3/4,23712,17.18,28.01,18.87,12.16
2014/3/5,23602,17.19,28.33,18.85,12.16
2014/3/6,24130,17.41,29.0,19.15,12.36
2014/3/7,23973,17.25,29.02,18.95,12.31
2014/3/10,23850,17.07,29.23,18.75,12.24
2014/3/11,23628,17.07,29.14,18.83,12.27
2014/3/12,23241,16.98,29.08,18.57,12.18
2014/3/13,22566,16.95,28.96,18.48,12.08
2014/3/14,22433,16.9,29.08,18.33,12.09
2014/3/17,22459,17.06,29.21,18.4,12.14
2014/3/18,22398,17.12,29.36,18.43,12.15
2014/3/19,22379,17.14,29.28,18.39,12.12
2014/3/20,22214,16.93,29.11,18.08,12.0
2014/3/21,22324,17.04,29.33,18.16,12.04
2014/3/24,21915,17.07,29.64,18.06,12.09
2014/3/25,22084,17.15,29.93,17.99,12.09
2014/3/26,22400,17.33,29.96,18.19,12.15
2014/3/27,22361,17.3,30.06,18.07,12.08
2014/3/28,22863,17.46,30.53,18.28,12.31
2014/3/31,23098,17.55,30.51,18.38,12.34
2014/4/1,23310,17.69,30.52,18.69,12.48
2014/4/2,23523,17.69,30.76,18.78,12.51
2014/4/3,23478,17.63,30.34,18.66,12.38
2014/4/4,23493,17.72,30.56,18.67,12.38
2014/4/7,23052,17.6,30.25,18.42,12.28
2014/4/8,22500,17.75,30.47,18.55,12.4
2014/4/9,22282,17.91,30.67,18.73,12.52
2014/4/10,21960,17.94,30.62,18.85,12.51
2014/4/11,21989,17.8,30.33,18.66,12.34
2014/4/14,22149,17.79,30.38,18.66,12.38
2014/4/15,21887,17.59,30.04,18.43,12.22
2014/4/16,22558,17.73,30.01,18.64,12.28
2014/4/17,22585,17.84,30.36,18.76,12.4
2014/4/18,22681,17.79,30.26,18.78,12.37
2014/4/21,22661,17.81,30.34,18.81,12.41
2014/4/22,22525,17.89,30.3,18.89,12.42
2014/4/23,22494,17.74,30.25,18.77,12.34
2014/4/24,22383,17.75,30.32,18.77,12.34
2014/4/25,22303,17.58,30.35,18.46,12.26
2014/4/28,22323,17.57,30.29,18.38,12.14
2014/4/29,22466,17.64,30.39,18.45,12.2
2014/4/30,22203,17.59,30.28,18.19,12.12
2014/5/1,22697,17.6,30.38,18.29,12.17
2014/5/2,22681,17.63,30.45,18.34,12.17
2014/5/5,22628,17.63,30.38,18.36,12.15
2014/5/6,22498,17.69,30.57,18.41,12.16
2014/5/7,22209,17.53,30.26,18.26,12.02
2014/5/8,22284,17.58,30.42,18.17,12.0
2014/5/9,22403,17.51,31.23,18.09,12.12
2014/5/12,22490,17.71,32.31,18.35,12.4
2014/5/13,22797,17.77,32.29,18.44,12.41
2014/5/14,22753,17.89,32.1,18.62,12.49
2014/5/15,22451,17.79,31.85,18.54,12.41
2014/5/16,22462,17.9,32.85,18.69,12.62
2014/5/19,22185,17.84,33.15,18.75,12.69
2014/5/20,22034,17.77,33.17,18.71,12.64
2014/5/21,22255,17.85,33.22,18.78,12.68
2014/5/22,22504,18.0,33.63,18.91,12.81
2014/5/23,22841,18.07,33.87,18.96,12.86
2014/5/26,23050,18.09,33.52,18.98,12.77
2014/5/27,23052,18.05,33.23,18.97,12.72
2014/5/28,23060,18.09,33.31,19.08,12.76
2014/5/29,23190,18.13,33.19,19.12,12.7
2014/5/30,23311,18.02,32.8,19.02,12.58
2014/6/2,23672,18.1,33.63,19.08,12.77
2014/6/3,23772,18.13,33.66,19.19,12.88
2014/6/4,23962,18.07,33.55,19.11,12.81
2014/6/5,23877,18.13,33.98,19.2,12.91
2014/6/6,24004,18.22,34.69,19.23,13.02
2014/6/9,23903,18.27,34.69,19.27,13.06
2014/6/10,23724,18.34,34.76,19.37,13.11
2014/6/11,23753,18.31,34.61,19.31,13.06
2014/6/12,23897,18.32,35.01,19.28,13.09
2014/6/13,23986,18.26,34.3,19.27,12.99
2014/6/16,23845,18.27,33.84,19.25,12.93
2014/6/17,23843,18.19,34.02,19.21,12.91
2014/6/18,24020,18.19,33.93,19.2,12.84
2014/6/19,24403,18.33,33.99,19.28,12.85
2014/6/20,24624,18.24,33.85,19.21,12.84
2014/6/23,24344,18.17,33.84,19.03,12.78
2014/6/24,24592,18.25,34.27,19.26,12.9
2014/6/25,24378,18.22,34.26,19.21,12.88
2014/6/26,24316,18.4,34.04,19.36,12.9
2014/6/27,24175,18.46,34.23,19.38,12.94
2014/6/30,24371,18.51,34.51,19.53,13.05
2014/7/1,24810,18.57,34.85,19.64,13.13
2014/7/2,24897,18.7,35.55,19.82,13.3
2014/7/3,24963,18.75,35.65,19.92,13.35
2014/7/4,24972,18.75,35.72,19.91,13.36
2014/7/7,24773,18.78,35.73,19.99,13.44
2014/7/8,24617,18.71,35.16,19.88,13.34
2014/7/9,24731,18.65,34.91,19.78,13.29
2014/7/10,24262,18.61,34.58,19.79,13.26
2014/7/11,24290,18.63,34.29,19.73,13.17
2014/7/14,24600,18.7,34.32,19.77,13.21
2014/7/15,24661,18.69,34.34,19.77,13.21
2014/7/16,24670,18.72,34.91,19.77,13.31
2014/7/17,24604,18.61,34.81,19.6,13.25
2014/7/18,24579,18.67,34.92,19.64,13.28
2014/7/21,24510,18.64,35.07,19.6,13.3
2014/7/22,24766,18.86,35.79,19.83,13.47
2014/7/23,24718,18.96,35.84,19.83,13.55
2014/7/24,24693,18.97,35.88,19.85,13.55
2014/7/25,24688,18.88,35.77,19.76,13.49
2014/7/28,24897,18.95,35.69,19.83,13.53
2014/7/29,24920,18.99,35.57,19.86,13.51
2014/7/30,25151,18.98,35.47,19.91,13.47
2014/7/31,24965,18.81,34.76,19.64,13.31
2014/8/1,24790,18.68,34.62,19.56,13.23
2014/8/4,24827,18.75,34.63,19.76,13.35
2014/8/5,24620,18.66,34.79,19.63,13.39
2014/8/6,24257,18.63,34.42,19.57,13.3
2014/8/7,24218,18.56,34.43,19.46,13.23
2014/8/8,23910,18.53,34.23,19.47,13.21
2014/8/11,24310,18.69,34.72,19.76,13.4
2014/8/12,24211,18.71,34.8,19.69,13.41
2014/8/13,24568,18.91,35.12,19.9,13.56
2014/8/14,24550,18.92,35.46,19.9,13.6
2014/8/15,24411,18.86,35.38,19.83,13.58
2014/8/18,24608,18.96,35.88,19.88,13.67
2014/8/19,24698,19.03,36.03,19.96,13.68
2014/8/20,24609,19.11,36.17,20.07,13.72
2014/8/21,24890,19.03,36.23,19.92,13.69
2014/8/22,24724,19.07,36.35,20.0,13.72
2014/8/25,24911,19.09,36.49,20.06,13.72
2014/8/26,24834,19.11,36.63,20.04,13.72
2014/8/27,24751,19.15,36.79,19.97,13.75
2014/8/28,24586,18.99,36.49,19.82,13.64
2014/8/29,24584,19.02,36.74,19.8,13.65
2014/9/1,24726,19.07,36.85,19.88,13.7
2014/9/2,25173,19.0,37.09,19.72,13.72
2014/9/3,25253,19.24,37.44,19.93,13.91
2014/9/4,25218,19.26,37.54,19.98,13.94
2014/9/5,24966,19.19,37.56,19.89,13.91
2014/9/8,25192,19.16,37.86,19.88,13.99
2014/9/9,25157,19.07,37.36,19.73,13.85
2014/9/10,25357,18.88,37.17,19.49,13.7
2014/9/11,25317,18.79,37.25,19.43,13.67
2014/9/12,25361,18.7,37.15,19.4,13.62
2014/9/15,25263,18.53,36.98,19.22,13.49
2014/9/16,25250,18.51,36.5,19.23,13.42
2014/9/17,25190,18.45,36.62,19.28,13.46
2014/9/18,25579,18.45,37.4,19.22,13.59
2014/9/19,25683,18.41,37.29,19.3,13.58
2014/9/22,25714,18.19,37.33,18.97,13.51
2014/9/23,25609,18.19,36.76,18.92,13.39
2014/9/24,25786,18.29,36.86,19.05,13.46
2014/9/25,25742,18.06,36.1,18.81,13.29
2014/9/26,25993,18.0,36.42,18.87,13.31
2014/9/29,26029,17.81,36.32,18.68,13.22
2014/9/30,25950,17.8,36.19,18.61,13.17
2014/10/1,25484,17.75,36.22,18.47,13.15
2014/10/2,24680,17.61,35.98,18.31,13.0
2014/10/3,25275,17.82,36.19,18.58,13.14
2014/10/6,25303,17.89,36.49,18.62,13.2
2014/10/7,25019,17.89,36.1,18.62,13.17
2014/10/8,24804,17.72,35.8,18.46,13.08
2014/10/9,24420,17.86,36.49,18.6,13.25
