date,HK0000065208,LU0286668453,LU0756523055,LU0605512275,LU0063729296
2014/1/2,17.55,13.75,6.6739999999999995,11.19,32.85
2014/1/3,17.53,13.74,6.662000000000001,11.18,32.82
2014/1/6,17.52,13.74,6.655,11.19,32.84
2014/1/7,17.48,13.73,6.649,11.19,32.8
2014/1/8,17.44,13.72,6.643,11.16,32.75
2014/1/9,17.45,13.73,6.645,11.18,32.79
2014/1/10,17.48,13.73,6.652,11.21,32.8
2014/1/13,17.48,13.76,6.655,11.26,32.85
2014/1/14,17.46,13.75,6.656000000000001,11.22,32.9
2014/1/15,17.48,13.76,6.665,11.24,32.92
2014/1/16,17.5,13.77,6.671,11.26,32.93
2014/1/17,17.5,13.78,6.678,11.28,33.0
2014/1/20,17.48,13.77,6.678999999999999,11.29,33.02
2014/1/21,17.45,13.76,6.662000000000001,11.27,33.01
2014/1/22,17.38,13.74,6.65,11.27,32.99
2014/1/23,17.36,13.81,6.631,11.28,32.95
2014/1/24,17.28,13.65,6.607,11.29,33.04
2014/1/27,17.24,13.62,6.596,11.25,32.93
2014/1/28,17.3,13.66,6.6160000000000005,11.23,32.83
2014/1/29,17.34,13.69,6.63,11.25,32.89
2014/1/30,17.32,13.67,6.626,11.29,32.92
2014/2/4,17.29,13.64,6.617000000000001,11.31,32.89
2014/2/5,17.3,13.65,6.62,11.31,32.89
2014/2/6,17.33,13.68,6.638999999999999,11.31,32.88
2014/2/7,17.36,13.7,6.647,11.32,32.93
2014/2/10,17.36,13.72,6.653,11.34,32.97
2014/2/11,17.37,13.74,6.667999999999999,11.35,33.01
2014/2/12,17.4,13.76,6.687,11.35,33.0
2014/2/13,17.4,13.76,6.68,11.35,33.05
2014/2/14,17.41,13.78,6.699,11.38,33.07
2014/2/17,17.43,13.79,6.702999999999999,11.39,33.1
2014/2/18,17.44,13.8,6.712000000000001,11.4,33.14
2014/2/19,17.43,13.8,6.718,11.42,33.22
2014/2/20,17.41,13.8,6.72,11.41,33.18
2014/2/21,17.42,13.8,6.727,11.41,33.2
2014/2/24,17.38,13.79,6.722,11.41,33.23
2014/2/25,17.36,13.79,6.722,11.42,33.23
2014/2/26,17.33,13.79,6.723,11.43,33.25
2014/2/27,17.34,13.8,6.73,11.46,33.32
2014/2/28,17.34,13.82,6.737,11.46,33.37
2014/3/3,17.33,13.81,6.742999999999999,11.49,33.42
2014/3/4,17.33,13.82,6.744,11.47,33.41
2014/3/5,17.34,13.84,6.749,11.47,33.41
2014/3/6,17.37,13.86,6.761,11.48,33.39
2014/3/7,17.38,13.86,6.772,11.48,33.42
2014/3/10,17.37,13.86,6.774,11.46,33.42
2014/3/11,17.37,13.86,6.771,11.47,33.24
2014/3/12,17.35,13.84,6.763999999999999,11.48,33.41
2014/3/13,17.33,13.8,6.766,11.49,33.41
2014/3/14,17.26,13.76,6.747999999999999,11.45,33.45
2014/3/17,17.22,13.74,6.728,11.44,33.42
2014/3/18,17.18,13.73,6.7170000000000005,11.5,33.43
2014/3/19,17.08,13.7,6.7,11.5,33.41
2014/3/20,17.08,13.69,6.695,11.46,33.31
2014/3/21,17.14,13.72,6.7139999999999995,11.47,33.3
2014/3/24,17.17,13.76,6.726,11.49,33.36
2014/3/25,17.19,13.77,6.742000000000001,11.5,33.37
2014/3/26,17.25,13.82,6.775,11.47,33.41
2014/3/27,17.21,13.83,6.791,11.55,33.46
2014/3/28,17.22,13.84,6.8,11.55,33.51
2014/3/31,17.24,13.85,6.809,11.54,33.52
2014/4/1,17.29,13.89,6.81,11.55,33.57
2014/4/2,17.34,13.92,6.843999999999999,11.55,33.59
2014/4/3,17.35,13.92,6.841,11.54,33.59
2014/4/4,17.37,13.93,6.841,11.55,33.56
2014/4/7,17.38,13.93,6.849,11.58,33.61
2014/4/8,17.4,13.94,6.861000000000001,11.59,33.67
2014/4/9,17.43,13.96,6.871,11.6,33.68
2014/4/10,17.44,13.97,6.872999999999999,11.62,33.69
2014/4/11,17.43,13.96,6.864,11.63,33.75
2014/4/14,17.41,13.96,6.862,11.62,33.74
2014/4/15,17.42,13.95,6.8629999999999995,11.62,33.76
2014/4/16,17.44,13.97,6.874,11.61,33.72
2014/4/17,17.45,13.95,6.882000000000001,11.62,33.71
2014/4/22,17.49,13.97,6.886,11.6,33.68
2014/4/23,17.49,13.97,6.886,11.61,33.7
2014/4/24,17.48,13.96,6.886,11.6,33.7
2014/4/25,17.48,13.95,6.888,11.62,33.71
2014/4/28,17.47,13.94,6.88,11.61,33.73
2014/4/29,17.46,13.94,6.877999999999999,11.6,33.89
2014/4/30,17.48,13.95,6.877999999999999,11.61,33.74
2014/5/2,17.49,13.95,6.8870000000000005,11.66,33.76
2014/5/5,17.5,13.96,6.891,11.68,33.85
