"","Date","LU0231483743","Date4","LU0243957239","Date3","HK0000065125","Date2","LU0261952682","Date1","LU0823388615"
"1","2014-01-02 08:00:00",23.7848,"2014-01-02 08:00:00",17.89,"2014-01-02 08:00:00",218.04,"2014-01-02 08:00:00",9.958,"2014-01-02 08:00:00",94.34
"2","2014-01-03 08:00:00",23.4191,"2014-01-03 08:00:00",17.91,"2014-01-03 08:00:00",213.87,"2014-01-03 08:00:00",10,"2014-01-03 08:00:00",94.39
"3","2014-01-06 08:00:00",23.3011,"2014-01-06 08:00:00",17.95,"2014-01-06 08:00:00",211.97,"2014-01-06 08:00:00",9.986,"2014-01-06 08:00:00",94.49
"4","2014-01-07 08:00:00",23.289,"2014-01-07 08:00:00",18.01,"2014-01-07 08:00:00",211.63,"2014-01-07 08:00:00",10.12,"2014-01-07 08:00:00",94.61
"5","2014-01-08 08:00:00",23.4099,"2014-01-08 08:00:00",18.05,"2014-01-08 08:00:00",214.07,"2014-01-08 08:00:00",10.12,"2014-01-08 08:00:00",94.63
"6","2014-01-09 08:00:00",23.3613,"2014-01-09 08:00:00",18.09,"2014-01-09 08:00:00",212.44,"2014-01-09 08:00:00",10.05,"2014-01-09 08:00:00",94.63
"7","2014-01-10 08:00:00",23.3884,"2014-01-10 08:00:00",18.11,"2014-01-10 08:00:00",212.68,"2014-01-10 08:00:00",10.1,"2014-01-10 08:00:00",94.69
"8","2014-01-13 08:00:00",23.3744,"2014-01-13 08:00:00",18.12,"2014-01-13 08:00:00",213.52,"2014-01-13 08:00:00",10.13,"2014-01-13 08:00:00",94.75
"9","2014-01-14 08:00:00",23.2716,"2014-01-14 08:00:00",18.11,"2014-01-14 08:00:00",212.77,"2014-01-14 08:00:00",10.15,"2014-01-14 08:00:00",94.77
"10","2014-01-15 08:00:00",23.3639,"2014-01-15 08:00:00",18.15,"2014-01-15 08:00:00",213.83,"2014-01-15 08:00:00",10.32,"2014-01-15 08:00:00",94.88
"11","2014-01-16 08:00:00",23.3891,"2014-01-16 08:00:00",18.19,"2014-01-16 08:00:00",214.39,"2014-01-16 08:00:00",10.26,"2014-01-16 08:00:00",94.95
"12","2014-01-17 08:00:00",23.4991,"2014-01-17 08:00:00",18.21,"2014-01-17 08:00:00",216,"2014-01-17 08:00:00",10.27,"2014-01-17 08:00:00",95
"13","2014-01-20 08:00:00",23.3036,"2014-01-20 08:00:00",18.22,"2014-01-20 08:00:00",214.15,"2014-01-20 08:00:00",10.27,"2014-01-20 08:00:00",NA
"14","2014-01-21 08:00:00",23.3643,"2014-01-21 08:00:00",18.22,"2014-01-21 08:00:00",215.25,"2014-01-21 08:00:00",10.34,"2014-01-21 08:00:00",95.09
"15","2014-01-22 08:00:00",23.374,"2014-01-22 08:00:00",18.21,"2014-01-22 08:00:00",215.84,"2014-01-22 08:00:00",10.33,"2014-01-22 08:00:00",95.11
"16","2014-01-23 08:00:00",23.1181,"2014-01-23 08:00:00",18.2,"2014-01-23 08:00:00",212.79,"2014-01-23 08:00:00",10.22,"2014-01-23 08:00:00",95.02
"17","2014-01-24 08:00:00",22.8909,"2014-01-24 08:00:00",18.1,"2014-01-24 08:00:00",209.91,"2014-01-24 08:00:00",9.925,"2014-01-24 08:00:00",94.71
"18","2014-01-27 08:00:00",22.4051,"2014-01-27 08:00:00",18.03,"2014-01-27 08:00:00",205.26,"2014-01-27 08:00:00",9.879,"2014-01-27 08:00:00",94.59
"19","2014-01-28 08:00:00",22.3679,"2014-01-28 08:00:00",18.07,"2014-01-28 08:00:00",205.26,"2014-01-28 08:00:00",9.958,"2014-01-28 08:00:00",94.62
"20","2014-01-29 08:00:00",22.3714,"2014-01-29 08:00:00",18.1,"2014-01-29 08:00:00",207.55,"2014-01-29 08:00:00",9.881,"2014-01-29 08:00:00",94.57
"21","2014-01-30 08:00:00",22.162,"2014-01-30 08:00:00",18.07,"2014-01-30 08:00:00",206.58,"2014-01-30 08:00:00",9.931,"2014-01-30 08:00:00",94.6
"22","2014-01-31 08:00:00",22.1712,"2014-01-31 08:00:00",18.05,"2014-01-31 08:00:00",NA,"2014-01-31 08:00:00",9.888,"2014-01-31 08:00:00",94.56
"23","2014-02-03 08:00:00",22.1138,"2014-02-03 08:00:00",18.06,"2014-02-03 08:00:00",NA,"2014-02-03 08:00:00",9.722,"2014-02-03 08:00:00",94.53
"24","2014-02-04 08:00:00",21.6599,"2014-02-04 08:00:00",18.03,"2014-02-04 08:00:00",200.42,"2014-02-04 08:00:00",9.717,"2014-02-04 08:00:00",94.42
"25","2014-02-05 08:00:00",21.7377,"2014-02-05 08:00:00",18.07,"2014-02-05 08:00:00",199.18,"2014-02-05 08:00:00",9.719,"2014-02-05 08:00:00",94.45
