"","LU0612318385","GB0000799923","IE0004868604","LU0149984543","LU0029875118"
"2014-01-02",74.050003,10.9,12.43,93.46,114.32
"2014-01-03",74.239998,10.72,12.45,94.29,114.67
"2014-01-06",74.339996,10.63,12.44,93.8,114.5
"2014-01-07",74.849998,10.59,12.44,93.46,114.21
"2014-01-08",75.080002,10.69,12.47,93.78,114.51
"2014-01-09",75.290001,10.61,12.48,93.98,114.29
"2014-01-10",75.709999,10.55,12.46,94.54,115.07
"2014-01-13",75.870003,10.61,12.49,96.18,114.79
"2014-01-14",75.739998,10.58,12.44,96.1,114.58
"2014-01-15",76.480003,10.65,12.52,96.9,115.2
"2014-01-16",76.639999,10.65,12.53,96.19,115.15
"2014-01-17",76.57,10.69,12.54,95.19,115.18
"2014-01-20",76.470001,10.58,12.57,95.61,115.18
"2014-01-21",76.620003,10.62,12.6,95.16,115.36
"2014-01-22",76.559998,10.69,12.57,95.56,115.69
"2014-01-23",76.720001,10.61,12.49,95.21,115.18
"2014-01-24",75.370003,10.37,12.39,93.45,113.87
"2014-01-27",74.540001,10.1,12.29,90.98,112.6
"2014-01-28",74.989998,10.2,12.27,91.31,113.13
"2014-01-29",74.169998,10.36,12.27,91.04,112.92
"2014-01-30",74.489998,10.26,12.28,90.72,113.04
"2014-01-31",73.110001,10.26,12.3,91.2,113.28
"2014-02-03",73.309998,10.26,12.3,90.56,112.1
"2014-02-04",72.769997,9.88,12.12,90.88,112.15
"2014-02-05",72.660004,9.84,12.13,90.98,112.35
"2014-02-06",74.110001,9.9,12.14,91.47,113.19
"2014-02-07",74.730003,10.05,12.27,91.77,114.24
"2014-02-10",75.07,10.07,12.32,91.21,115.02
"2014-02-11",75.559998,10.23,12.33,91.4,115.61
"2014-02-12",76.400002,10.35,12.42,92.24,115.97
"2014-02-13",76.559998,10.31,12.37,90.65,115.83
"2014-02-14",77.400002,10.38,12.4,91.79,116.08
"2014-02-17",77.949997,10.52,12.44,92.03,116.08
"2014-02-18",78.199997,10.52,12.45,92.17,117.34
"2014-02-19",78.18,10.53,12.45,92.84,117.49
"2014-02-20",77.830002,10.42,12.4,92.17,116.87
"2014-02-21",78.610001,10.43,12.45,93,117.12
"2014-02-24",78.480003,10.34,12.49,93.65,116.68
"2014-02-25",78.720001,10.2,12.49,93.73,117.27
"2014-02-26",78.010002,10.3,12.53,94.13,117.21
"2014-02-27",78.169998,10.46,12.52,94.12,116.56
"2014-02-28",79.260002,10.46,12.54,95.27,117.29
"2014-03-03",77.550003,10.35,12.47,94.25,116.72
"2014-03-04",78.650002,10.42,12.53,95.15,118.36
"2014-03-05",78.919998,10.37,12.58,95.96,118.55
"2014-03-06",79.699997,10.39,12.58,97.73,118.71
"2014-03-07",79.139999,10.42,12.56,98.74,118.08
"2014-03-10",78.160004,10.26,12.5,99.14,117.18
"2014-03-11",78.75,10.29,12.53,99.18,117.72
"2014-03-12",77.93,10.14,12.45,98.9,116.78
"2014-03-13",77.860001,10.1,12.41,98.19,116.3
"2014-03-14",76.150002,9.91,12.32,98.05,115.67
"2014-03-17",77.400002,,12.34,,115.9
"2014-03-18",78.050003,9.99,12.43,99.05,116.61
"2014-03-19",78.139999,10.08,12.45,98.94,115.32
"2014-03-20",77.059998,9.94,12.44,98.29,114.04
"2014-03-21",77.57,10.05,12.45,98.77,114.69
"2014-03-24",76.370003,10.18,12.37,99.98,114.65
"2014-03-25",77.220001,10.05,12.37,100.79,115.13
"2014-03-26",77.860001,10.17,12.42,101.31,114.46
"2014-03-27",77.669998,10.06,12.4,101.75,115.13
"2014-03-28",78.239998,10.16,12.46,103.85,116.04
"2014-03-31",79.040001,10.31,12.49,104.06,117.03
"2014-04-01",79.610001,10.42,12.54,104.33,117.5
"2014-04-02",79.480003,10.44,12.58,104.79,117.99
"2014-04-03",79.599998,10.47,12.63,104.1,117.83
"2014-04-04",79.43,10.38,12.63,103.37,118.53
"2014-04-07",79.07,10.31,12.52,103.59,118.54
"2014-04-08",77.910004,10.37,12.39,103.58,118.66
"2014-04-09",78.699997,10.47,12.42,104.75,118.38
"2014-04-10",78.849998,10.59,12.45,104.73,118.13
"2014-04-11",76.870003,10.41,12.3,104.17,117.23
"2014-04-14",76.330002,10.34,12.28,,117.62
"2014-04-15",76.610001,10.16,12.33,104.01,118.24
"2014-04-16",76.919998,10.17,12.36,102.54,119.34
"2014-04-17",77.940002,10.26,12.4,103.93,119.64
"2014-04-22",78.980003,10.3,12.48,103.4,119.72
"2014-04-23",78.82,10.24,12.5,103.39,119.53
"2014-04-24",78.370003,10.26,12.48,,119.91
"2014-04-25",78.279999,10.12,12.45,103.49,119.23
"2014-04-28",78.629997,9.97,12.44,103.36,119.88
"2014-04-29",79.260002,10,12.46,103.13,120.03
"2014-04-30",79.370003,9.92,12.47,,120.4
"2014-05-01",,9.92,,,
"2014-05-02",79.690002,9.99,12.54,103.85,121.05
"2014-05-05",79.25,,12.49,103.62,121.08
"2014-05-06",79.580002,9.97,12.48,103.83,121.32
"2014-05-07",79.690002,9.82,12.45,103.08,121.32
"2014-05-08",80.300003,9.73,12.52,103.22,121.62
"2014-05-09",79.389999,9.68,12.52,105.78,121.44
"2014-05-12",79.970001,9.81,12.57,108.25,121.78
"2014-05-13",79.540001,9.88,12.62,110.09,121.84
"2014-05-14",79.459999,9.99,12.62,110.1,122.34
"2014-05-15",78.370003,10.02,12.58,111.1,122.36
"2014-05-16",78.25,9.94,12.53,113.12,122.5
"2014-05-19",77.860001,9.86,12.51,115.6,122.12
"2014-05-20",77.900002,9.84,12.51,114.56,121.75
"2014-05-21",78.220001,9.9,12.55,114.31,121.17
"2014-05-22",78.199997,10.02,12.6,115.25,121.38
"2014-05-23",78.220001,10.07,12.64,116.66,122.41
"2014-05-26",79.029999,,12.69,115.53,122.41
"2014-05-27",79.32,10.1,12.72,114.38,123.14
"2014-05-28",79.139999,10.18,12.72,115.06,122.52
"2014-05-29",,10.11,,,
"2014-05-30",79.209999,10.19,12.73,113.51,123.23
"2014-06-02",79.529999,,12.76,115.94,123.83
"2014-06-03",79.300003,10.28,12.74,116.5,123.87
"2014-06-04",79.279999,10.22,12.74,116.6,123.85
"2014-06-05",79.889999,10.23,12.78,117.61,125.3
"2014-06-06",80.879997,10.31,12.85,120,125.44
"2014-06-09",,10.34,,,
"2014-06-10",80.540001,10.48,12.92,120.89,124.19
"2014-06-11",80.150002,10.5,12.91,120.37,124
"2014-06-12",80.120003,10.52,12.9,120.83,123.6
"2014-06-13",79.589996,10.56,12.87,118.06,123.46
"2014-06-16",79.400002,10.6,12.85,117.66,122.74
"2014-06-17",79.300003,10.54,12.85,118.99,122.94
"2014-06-18",79.639999,10.51,12.87,117.65,123.47
"2014-06-19",80.57,10.45,12.91,117.76,124.61
"2014-06-20",80.059998,10.47,12.93,117.28,124.72
"2014-06-23",,10.31,,,
"2014-06-24",78.900002,10.36,12.88,118.42,124.37
"2014-06-25",78.540001,10.37,12.86,118.06,124.38
"2014-06-26",78.230003,10.5,12.86,117.1,124.58
"2014-06-27",78.739998,10.51,12.87,117.9,124.92
"2014-06-30",78.739998,10.62,12.86,119.35,124.83
"2014-07-01",79.540001,10.62,12.89,119.78,125.32
"2014-07-02",79.709999,10.73,12.92,122.2,125.32
"2014-07-03",80.18,10.83,12.96,121.99,124.95
"2014-07-04",80.099998,10.87,13,122.45,124.95
"2014-07-07",79.419998,10.9,12.96,122.39,124.8
"2014-07-08",78.139999,10.89,12.88,119.98,124.37
"2014-07-09",77.790001,10.76,12.84,119.49,124.75
"2014-07-10",76.629997,10.82,12.82,118.87,125.27
"2014-07-11",77.010002,10.83,12.82,117.09,125
"2014-07-14",77.739998,10.9,12.85,116.88,125.59
"2014-07-15",77.389999,10.95,12.88,117.96,125.62
"2014-07-16",77.809998,10.93,12.97,119.14,126.3
"2014-07-17",77.510002,10.88,13,119.89,125.46
"2014-07-18",76.699997,10.81,12.95,119.77,126.34
"2014-07-21",76.360001,10.77,12.96,120.05,125.95
"2014-07-22",76.980003,10.95,13,121.78,126.19
"2014-07-23",77.290001,11.03,13.03,122.59,126.48
"2014-07-24",77.32,11.09,13.03,122.91,126.32
"2014-07-25",77.050003,11.09,13.03,122.03,125.5
"2014-07-28",76.519997,11.15,13.03,121.3,125.84
"2014-07-29",76.940002,11.15,13.06,,125.73
"2014-07-30",76.279999,11.1,13.06,122.3,125.38
"2014-07-31",75.290001,11.15,12.98,120.55,124.27
"2014-08-01",74.699997,11.01,12.85,118.22,123.73
"2014-08-04",74.489998,,12.84,119.29,123.77
"2014-08-05",74.019997,11.17,12.85,120.33,122.79
"2014-08-06",72.800003,11.16,12.76,118.3,122.29
"2014-08-07",73.099998,11.05,12.75,118.25,122.5
"2014-08-08",72.300003,11.04,12.66,117.1,122.3
"2014-08-11",73.129997,11.16,12.73,117.96,123.35
"2014-08-12",72.910004,11.23,12.76,118.59,123.24
"2014-08-13",73.040001,11.31,12.76,118.5,124.37
"2014-08-14",73.410004,11.24,12.82,120.1,124.51
"2014-08-15",,11.24,,,
"2014-08-18",73.779999,11.23,12.92,121.73,125.45
"2014-08-19",74.07,11.27,12.99,122.66,126.17
"2014-08-20",73.730003,11.25,13.03,122.63,126.28
"2014-08-21",74.440002,11.18,13.09,122.77,126.44
"2014-08-22",74.440002,11.24,13.1,123.12,125.78
"2014-08-25",74.720001,,13.19,122.95,125.81
"2014-08-26",75.410004,11.17,13.24,122.75,125.85
"2014-08-27",75.410004,11.13,13.27,123.25,126.14
"2014-08-28",75,11.06,13.26,123.23,125.66
"2014-08-29",74.989998,11.13,13.24,,125.8
"2014-09-01",74.980003,11.13,13.29,124.92,125.8
"2014-09-02",74.730003,11.18,13.28,125.96,126.06
"2014-09-03",75.739998,11.4,13.3,127.47,126.46
"2014-09-04",75.849998,11.39,13.39,127.38,125.86
"2014-09-05",75.400002,11.36,13.41,127.03,126.35
"2014-09-08",74.889999,11.37,13.43,128.53,125.91
"2014-09-09",74.300003,11.37,13.4,128.19,124.96
"2014-09-10",74.389999,11.16,13.33,126.48,123.55
"2014-09-11",74.290001,11.09,13.35,126.96,123.47
"2014-09-12",74.199997,11.1,13.34,127.54,121.31
"2014-09-15",74.099998,10.97,13.29,126.1,120.49
"2014-09-16",73.809998,10.78,13.28,124.09,120.56
"2014-09-17",74.660004,10.89,13.32,124.86,120.64
"2014-09-18",74.910004,10.83,13.39,126.67,120.28
"2014-09-19",75,10.9,13.46,127.3,119.98
"2014-09-22",74.620003,10.72,13.44,127.86,119.45
"2014-09-23",73.650002,10.63,13.32,125.86,118.84
"2014-09-24",73.139999,10.7,13.32,125.66,118.41
"2014-09-25",72.800003,10.7,13.38,123.08,118.18
"2014-09-26",72.480003,10.61,13.34,124.37,118.83
"2014-09-29",72.099998,10.42,13.32,124.34,118.4
"2014-09-30",71.989998,10.34,13.36,123.91,117.85
"2014-10-01",71.860001,10.33,13.34,124.44,117.65
"2014-10-02",70.940002,10.31,13.22,,116.83
"2014-10-03",70.190002,10.36,13.27,,116.35
"2014-10-06",70.870003,10.49,13.35,,116.84
"2014-10-07",70.050003,10.56,13.23,123.59,116.53
"2014-10-08",69.339996,10.47,13.14,122.66,117.67
"2014-10-09",69.309998,10.58,13.14,125.04,118.04
"2014-10-10",67.910004,10.4,13.07,123.12,117.34
"2014-10-13",68.139999,10.27,12.94,123.88,117.34
"2014-10-14",67.639999,10.17,12.87,123.38,118.13
"2014-10-15",66.830002,10.2,12.75,,117.92
"2014-10-16",65.459999,10,12.59,120.47,117.74
"2014-10-17",67.290001,10.31,12.71,121.24,117.93
"2014-10-20",67.480003,10.28,12.78,123.05,119.56
"2014-10-21",68.599998,10.36,12.9,123.97,120.51
"2014-10-22",68.93,10.38,13.04,124.92,120.83
"2014-10-23",69.010002,10.35,13.05,125.3,121.28
"2014-10-24",69.410004,10.34,13.07,,121.38
"2014-10-27",69.010002,,13.06,124.55,122.17
"2014-10-28",69.879997,10.39,13.09,124.57,123.03
"2014-10-29",70.260002,10.6,13.14,125.37,122.9
"2014-10-30",69.43,10.56,13.19,126.07,123.26
"2014-10-31",70.550003,10.73,13.36,127.84,126.07
"2014-11-03",70.050003,10.73,13.37,127.78,126.66
"2014-11-04",69.870003,10.74,13.31,,127.02
"2014-11-05",70.339996,10.68,13.32,127.88,125.88
"2014-11-06",70.489998,10.62,13.38,,124.42
"2014-11-07",69.470001,10.62,13.35,128.47,124.18
"2014-11-10",69.989998,10.71,13.35,128.64999,125.43
"2014-11-11",70.239998,10.78,13.39,128.63001,125.43
"2014-11-12",69.660004,10.85,13.35,129.52,125.26
"2014-11-13",69.879997,10.85,13.34,128.91,125.78
"2014-11-14",69.620003,10.86,13.36,128.61999,125.69
"2014-11-17",69.959999,10.7,13.34,129.27,125.38
"2014-11-18",71.029999,10.54,13.39,129.51,125.88
"2014-11-19",71.300003,10.48,13.4,128.24001,124.99
"2014-11-20",70.889999,10.46,13.37,128.67999,124.7
"2014-11-21",71.879997,10.51,13.53,130.28999,125.38
"2014-11-24",72.059998,10.82,13.59,129.97,125.56
"2014-11-25",72.610001,10.79,13.62,128.98,125.61
"2014-11-26",72.699997,10.92,13.62,128.95,126.35
"2014-11-27",72.82,10.91,13.63,129.36999,
"2014-11-28",72.550003,10.95,13.62,129.89,126.3
"2014-12-01",72.349998,10.68,13.58,130.01,126.15
"2014-12-02",72.010002,10.77,13.6,130.14,126.65
"2014-12-03",71.900002,10.71,13.68,130.38001,126.37
"2014-12-04",71.43,10.89,13.59,129.88001,126.28
"2014-12-05",71.860001,11.02,13.7,129.03999,125.7
"2014-12-08",71.730003,11.09,13.7,127.88,126.26
"2014-12-09",70.760002,10.78,13.54,126.13,126.35
"2014-12-10",70.360001,10.82,13.49,125.95,125.81
"2014-12-11",69.980003,10.72,13.44,125.08,125.47
"2014-12-12",69.400002,10.76,13.36,124.58,125.05
"2014-12-15",68.239998,10.69,13.27,122.55,123.55
"2014-12-16",67.290001,10.61,13.09,119.96,123.5
"2014-12-17",68.169998,10.5,13.16,119.8,124.69
"2014-12-18",69.25,10.68,13.43,123.08,125.2
"2014-12-19",69.739998,10.65,13.51,122.96,126.42
"2014-12-22",70.089996,10.74,13.58,124.38,128.06
"2014-12-23",70.019997,10.73,13.64,124.14,127.48
"2014-12-24",,10.69,,122.5,
"2014-12-29",69.839996,,13.69,123.3,128.04
"2014-12-30",69.639999,10.84,13.65,123.8,127.88
"2014-12-31",69.489998,10.97,13.67,125.09,126.6
"2015-01-02",69.010002,11.22,13.73,126.97,127.38
"2015-01-05",66.699997,11.19,13.64,125.87,127.61
"2015-01-06",66.389999,11.19,13.61,122.88,127.66
"2015-01-07",66.080002,11.16,13.64,124.06,128.96
"2015-01-08",66.900002,11.18,13.73,127.26,129.62
"2015-01-09",66.830002,11.27,13.76,128.11999,130.17
"2015-01-12",66.559998,11.22,13.68,128.17,130.72
"2015-01-13",67.949997,11.23,13.84,129.89,130.81
"2015-01-14",67.07,11.22,13.71,128.98,131.27
"2015-01-15",67.400002,11.18,13.76,131.17,131.44
"2015-01-16",67.529999,11.17,13.81,132.31,131.98
"2015-01-19",68.82,10.89,13.88,133.06,
"2015-01-20",68.769997,10.96,13.93,134.45,131.66
"2015-01-21",69.199997,11.17,13.93,135.61999,132.1
"2015-01-22",69.599998,11.21,14.05,136.25,133.41
"2015-01-23",69.639999,11.34,14.29,137.34,133.39
"2015-01-26",70.010002,11.38,14.29,,133.89
"2015-01-27",70.110001,11.36,14.24,139.08,134.46
"2015-01-28",70.339996,11.33,14.26,139.02,134.15
"2015-01-29",70.309998,11.16,14.15,138.39999,133.69
