"","IE00B62P4Q86","LU0261952419","LU0640798830","LU0871640040","GB0030655780"
"2014-01-02",25752,24.42,16.09,11.09,47.19
"2014-01-03",25574,24.450001,15.99,11.07,46.27
"2014-01-06",25736,24.49,15.97,11.04,45.64
"2014-01-07",25822,24.530001,15.97,11.05,45.37
"2014-01-08",25988,24.549999,16.08,11.03,46.07
"2014-01-09",25887,24.549999,16.05,11.01,45.58
"2014-01-10",25817,24.549999,16.05,11.05,45.48
"2014-01-13",25626,24.58,16.11,11.06,45.44
"2014-01-14",25606,24.6,15.92,11.01,45.33
"2014-01-15",25956,24.6,16.12,11.03,45.52
"2014-01-16",25796,24.639999,16.17,11.04,45.72
"2014-01-17",26042,24.690001,16.17,11.06,45.9
"2014-01-20",25956,24.73,16.1,11.05,45.43
"2014-01-21",25815,24.73,16.08,11.08,45.37
"2014-01-22",25944,24.709999,16.12,11.05,45.77
"2014-01-23",25533,24.719999,16.13,10.99,45.27
"2014-01-24",24721,24.719999,15.83,10.95,44.3
"2014-01-27",24205,24.719999,15.43,10.82,43.2
"2014-01-28",24468,24.74,15.38,10.78,43.18
"2014-01-29",24465,24.77,15.54,10.75,44.03
"2014-01-30",24445,24.77,15.29,10.75,43.81
"2014-01-31",23955,24.84,15.4,10.69,
"2014-02-03",23257,24.860001,15.33,10.71,
"2014-02-04",22875,24.85,14.96,10.56,42.48
"2014-02-05",22990,24.889999,15.11,10.53,42.25
"2014-02-06",23265,24.84,15.12,10.62,42.62
"2014-02-07",23707,24.889999,15.32,10.73,43.25
"2014-02-10",23625,24.889999,15.49,10.8,43.37
"2014-02-11",23918,24.9,15.55,10.84,43.96
"2014-02-12",24072,24.9,15.71,10.94,44.42
"2014-02-13",23697,24.9,15.66,10.91,44.17
"2014-02-14",23558,24.91,15.79,10.98,44.59
"2014-02-17",23730,24.93,15.86,11.01,45.11
"2014-02-18",24221,24.950001,15.88,11.01,44.77
"2014-02-19",24209,24.969999,15.96,11.03,44.63
"2014-02-20",23628,24.93,15.8,10.98,44.08
"2014-02-21",24057,24.959999,15.92,11.07,44.07
"2014-02-24",24106,24.959999,15.91,11.09,43.76
"2014-02-25",23994,24.98,15.99,11.1,43.29
"2014-02-26",23855,25.02,15.95,11.1,43.72
"2014-02-27",23598,25.1,15.88,11.09,44.39
"2014-02-28",23756,25.040001,16,11.19,44.58
"2014-03-03",23123,25.09,15.74,11.12,44.06
