"","LU0168053600","LU0093666013","IE0004851022","LU0820562030","LU0578942376","LU0209137388","LU0365089902","LU0261952682","LU1775982595","LU0607514717","IE0000805634","GB0000804335","LU0913601281","LU0708994347","LU0348788117","LU0109395268","LU0011890265","LU0823388615","LU0093502762","HK0000288735","LU0823434583","LU0171293334","LU0352132103","LU0048597586","LU0154355936","LU0238205958","IE00B11XYX59","LU0314109678","LU1023056804","LU0256839274","LU0054237671","LU0028119526","LU0823431720","LU0028118809","LU0823414478","LU0820561909","LU0093669546","LU0011869814","LU0370787193","LU0943347566","LU0231483743","LU0231793349","LU0815945547","LU0823046494","HK0000176740","IE00B0MD9S72","LU0171289738","IE0034235188","LU0243957825","HK0000065125","IE00B12V2T05","IE0030165983","LU0171310443","LU0243957239","LU0728926402","LU0171305526","LU0607522496","LU0119176310","HK0000098423","LU0130103400","LU1046420714","LU0140363002","LU1046421795","LU0348805143","IE0003895053","LU0352132285","LU0229940001","IE00B3QK8V11","LU0211326755","LU0128525689"
"2014-01-02 08:00:00",9.17373,17.95,28.39947,5.88,8.6,16.15,110.63,9.958,108.2,3122,91.85,942.582,6.47,6.09,52.23,5.05,35.19,94.34,22.620001,67.9,53.02,129.86,6.15,7.0447,16.171,16.36,35.09,9.05974,NA,179.71001,34.312,1048,103.83,17.17,110.09,6.01,9.69,3.2089,27.22,6.08,23.7848,29.11,8.89,523.71,NA,9.01323,42.08,19.6607,16.0036,218.04,11.7672,28.68,11.79,17.89,6.78,20.18,14.08,18.8725,80.26,266.12,NA,22.79,NA,83.19667,408.4754,4.47,23.29,13.8038,18.6,28.15
"2014-01-03 08:00:00",9.18162,18.09,28.28495,5.87,8.61,16.19,111.29,10,107.86,3122,90.78,943.5199,6.45,6.1,51.4,5.06,34.81,94.39,22.709999,67.03,52.9075,130.75,6.15,6.9712,16.16,16.38,35.1,8.92147,NA,179.42,33.843,1048,103.62,17.19,109.77,6.01,9.71,3.223,27.25,6.08,23.4191,29.04,8.89,526.33,NA,9.02117,41.87,19.66,16.0141,213.87,11.6753,28.47,11.84,17.91,6.79,20.17,14.21,18.8957,80.27,266.62,NA,22.91,NA,81.88854,406.5661,4.49,23.29,13.8103,18.6,28.12
"2014-01-06 08:00:00",9.19739,18.12,28.12272,5.86,8.61,16.15,111,9.986,108.11,3115,89.48,949.1472,6.45,6.1,50.89,5.07,35.28,94.49,22.74,66.64,52.6425,131.73,6.18,6.9165,16.153,16.42,35.14,8.85447,NA,179.5,33.634,1049,101.64,17.25,109.47,5.99,9.71,3.1945,27.31,6.07,23.3011,29.02,8.89,523.03,NA,9.02911,41.54,19.6045,16.0462,211.97,11.5975,28.38,11.78,17.95,6.77,20.01,14.2,18.924,80.22,265.92,NA,22.91,NA,81.16181,405.7525,4.5,23.24,13.8144,18.59,28.12
"2014-01-07 08:00:00",9.21317,18.27,28.34221,5.86,8.63,16.18,110.86,10.12,107.48,3079,89.71,952.8988,6.45,6.11,50.59,5.07,35.19,94.61,22.860001,66.37,53.1,131.64999,6.17,6.9463,16.154,16.44,35.17,8.83139,NA,178.55,33.654,1038,101.9,17.3,110.34,6,9.73,3.1725,27.34,6.07,23.289,29.09,8.9,523.34,NA,9.03706,42,19.7353,16.0712,211.63,11.6085,28.32,11.78,18.01,6.74,19.65,14.07,18.961,80.23,267.05,NA,23.06,NA,81.02615,405.6536,4.5,23.32,13.8692,18.64,28.2
"2014-01-08 08:00:00",9.22106,18.35,28.06547,5.87,8.64,16.15,111.33,10.12,108.38,3137,89.57,953.8367,6.47,6.11,51.2,5.07,35.66,94.63,22.969999,66.95,53.265,131.48,6.22,6.9851,16.164,16.39,35.1,8.95097,NA,178.50999,33.824,1056,102.11,17.39,109.77,6.01,9.72,3.2174,27.33,6.08,23.4099,28.93,8.89,519.63,NA,9.02117,41.3,19.8485,16.0816,214.07,11.5931,28.48,11.84,18.05,6.69,19.59,14.27,18.9843,80.25,267.04,NA,23.13,NA,82.1211,407.1381,4.55,23.45,13.7785,18.64,28.26
"2014-01-09 08:00:00",9.22106,18.3,27.60741,5.91,8.65,16.1,110.81,10.05,109.42,3123,89.27,960.4019,6.49,6.11,51.17,5.07,35.7,94.63,23.040001,66.77,53.3225,130.99001,6.27,6.9016,16.157,16.4,35.1,8.89595,NA,179.27,33.545,1060,101.55,17.52,109.43,6.04,9.71,3.1916,27.34,6.11,23.3613,28.84,8.89,509.68,NA,9.02117,40.69,19.8223,16.0837,212.44,11.4821,28.42,11.92,18.09,6.45,19.46,14.3,19.0025,80.27,267.03,NA,23.1,NA,81.7335,405.2702,4.58,23.32,13.7172,18.65,28.27
"2014-01-10 08:00:00",9.23683,18.42,27.78872,5.91,8.66,16.22,111.15,10.1,110.3,3125,88.52,962.2777,6.5,6.12,50.96,5.08,35.73,94.69,22.9,66.76,53.55,132.28,6.27,6.9055,16.174,16.45,35.16,8.88115,NA,178.96001,33.624,1070,101.14,17.59,110.14,6.04,9.73,3.2246,27.39,6.11,23.3884,29.09,8.89,521.21,NA,9.03706,41.2,19.9779,16.088,212.68,11.6431,28.42,11.77,18.11,6.56,19.58,14.43,19.0173,80.29,269.38,NA,23.16,NA,81.29747,404.9159,4.56,23.31,13.8505,18.75,28.43
"2014-01-13 08:00:00",9.24472,18.49,28.00821,5.91,8.67,16.24,112.45,10.13,111.74,3124,90.21,965.0914,6.5,6.12,51.15,5.08,36.3,94.75,23.02,66.81,52.6125,131.39999,6.3,6.9433,16.229,16.47,35.21,8.87989,NA,179.06,33.843,1070,101.63,17.57,108.56,6.05,9.74,3.2515,27.43,6.12,23.3744,28.97,8.9,520.71,NA,9.05294,41.91,19.8262,16.1158,213.52,11.6326,28.49,11.81,18.12,6.6,19.84,14.66,19.0251,80.32,268.51,NA,23.17,NA,81.76257,405.6229,4.57,23.87,13.8909,18.71,28.34
"2014-01-14 08:00:00",9.24472,18.54,27.83644,5.89,8.67,16.15,112.25,10.15,109.91,3054,89.09,962.2777,6.47,6.13,51.03,5.08,35.76,94.77,22.9,66.53,53.3625,131.78,6.31,6.9344,16.23,16.48,35.22,8.89917,NA,177.83,33.824,1056,100.94,17.5,109.66,6.02,9.74,3.1791,27.42,6.09,23.2716,28.8,8.9,521.5,NA,9.05294,41.4,19.9747,16.1218,212.77,11.6575,28.31,11.64,18.11,6.6,20.13,14.42,19.0244,80.29,269.93,NA,23.27,NA,81.50095,405.3782,4.58,23.95,13.8548,18.78,28.46
"2014-01-15 08:00:00",9.2605,18.77,28.0941,5.92,8.68,16.26,112.63,10.32,111.26,3106,89.74,969.7809,6.52,6.11,51.49,5.08,35.91,94.88,23.32,66.46,53.68,132.27,6.32,6.9433,16.226,16.49,35.27,9.00648,NA,180.14999,33.834,1062,102.02,17.74,109.57,6.06,9.74,3.2053,27.41,6.13,23.3639,28.77,8.9,522.45,NA,9.06088,41.93,20.0697,16.1251,213.83,11.6856,28.45,11.86,18.15,6.64,19.88,14.42,19.0186,80.31,270.82,NA,23.5,NA,82.28582,404.9411,4.61,23.97,13.8082,18.84,28.54
"2014-01-16 08:00:00",9.26838,18.7,27.80781,5.94,8.7,16.27,111.95,10.26,111.47,3106,89.68,978.2219,6.52,6.11,51.65,5.09,35.81,94.95,23.309999,66.43,53.715,132.24001,6.31,6.9294,16.234,16.5,35.23,9.00745,NA,180.27,33.893,1058,101.77,17.79,109.68,6.07,9.75,3.218,27.41,6.14,23.3891,28.65,8.89,516.19,NA,9.05294,41.76,19.9967,16.1452,214.39,11.5846,28.52,11.83,18.19,6.54,20.23,14.31,19.0332,80.32,271.1,NA,23.47,NA,82.57652,405.0875,4.6,24.01,13.7336,18.82,28.47
