"","LU1049766626","IE00B7TWVK27","LU0229949994","IE00B12V2W34","LU0756523055"
"2014-01-02",,126.02,17.9,17.3946,6.674
"2014-01-03",,123.91,17.88,17.4194,6.662
"2014-01-06",,123.36,17.82,17.5008,6.655
"2014-01-07",,122.2,17.8,17.5134,6.649
"2014-01-08",,123.77,17.84,17.4785,6.643
"2014-01-09",,122.07,17.86,17.4392,6.645
"2014-01-10",,122.15,17.89,17.4601,6.652
"2014-01-13",,122.11,17.94,17.4801,6.655
"2014-01-14",,121.54,17.96,17.4936,6.656
"2014-01-15",,121.7,17.88,17.5165,6.665
"2014-01-16",,121.5,17.88,17.5022,6.671
"2014-01-17",,121.15,17.86,17.4991,6.678
"2014-01-20",,120.74,17.84,17.495,6.679
"2014-01-21",,122.06,17.79,17.4864,6.662
"2014-01-22",,122.13,17.79,17.4327,6.65
"2014-01-23",,120.29,17.72,17.3076,6.631
"2014-01-24",,117.95,17.6,17.1906,6.607
"2014-01-27",,115.94,17.55,17.1823,6.596
"2014-01-28",,116.28,17.62,17.2569,6.616
"2014-01-29",,116.59,17.6,17.1929,6.63
"2014-01-30",,116.33,17.58,17.124,6.626
"2014-01-31",,116.07,17.54,17.0245,6.623
"2014-02-03",,,17.5,17.0322,6.628
"2014-02-04",,114.21,17.58,17.1065,6.617
"2014-02-05",,113.11,17.62,17.1538,6.62
"2014-02-06",,113.69,17.63,17.1894,6.639
"2014-02-07",,115.57,17.64,17.2325,6.647
"2014-02-10",,115.6,17.63,17.2503,6.653
"2014-02-11",,117.28,17.68,17.2613,6.668
"2014-02-12",,118.22,17.75,17.2771,6.687
"2014-02-13",,117.91,17.72,17.2358,6.68
"2014-02-14",,117.84,17.82,17.2674,6.699
"2014-02-17",,119.46,17.88,17.2897,6.703
"2014-02-18",,120.09,17.84,17.2738,6.712
"2014-02-19",,120.63,17.86,17.2432,6.718
"2014-02-20",,119.69,17.82,17.248,6.72
"2014-02-21",,119.21,17.85,17.3309,6.727
"2014-02-24",,118.2,17.88,17.4202,6.722
"2014-02-25",,116.76,17.87,17.4472,6.722
"2014-02-26",,118.28,17.9,17.4365,6.723
