"","LU0795476117","LU0114722498","LU0390710027","LU0823389852","LU0163747925"
"2014-01-02",6.648,22.244,12.61,218.46001,15.882
"2014-01-03",6.654,22.362,12.62,218.67,15.622
"2014-01-06",6.662,22.372,12.61,218.77,15.483
"2014-01-07",6.672,22.52,12.59,218.98,15.48
"2014-01-08",6.686,22.707,12.54,218.39,15.591
"2014-01-09",6.689,22.657,12.53,218.41,15.517
"2014-01-10",6.693,22.608,12.61,218.66,15.534
"2014-01-13",6.701,22.717,12.63,218.60001,15.722
"2014-01-14",6.703,22.569,12.64,218.3,15.69
"2014-01-15",6.706,22.923,12.57,218.44,15.72
"2014-01-16",6.718,22.776,12.53,218.02,15.703
"2014-01-17",6.726,22.943,12.53,217.92999,15.683
"2014-01-20",6.733,22.815,12.53,217.62,15.634
"2014-01-21",6.734,22.776,12.53,217.16,15.665
"2014-01-22",6.738,22.835,12.53,216.56,15.726
"2014-01-23",6.743,22.391,12.54,215.49001,15.554
"2014-01-24",6.736,21.869,12.5,214.55,15.451
"2014-01-27",6.712,21.564,12.49,214.31,15.109
"2014-01-28",6.704,21.879,12.51,214.63,15.129
"2014-01-29",6.708,21.8,12.47,214.03999,15.232
"2014-01-30",6.703,21.997,12.39,213.78,15.144
"2014-01-31",6.71,21.859,12.36,212.91,15.149
"2014-02-03",6.708,21.367,12.36,212.72,15.045
"2014-02-04",6.704,21.544,12.43,213.53999,14.824
"2014-02-05",6.695,21.475,12.44,214.03999,14.769
"2014-02-06",6.698,21.682,12.5,214.41,14.836
"2014-02-07",6.705,21.869,12.52,215.09,15.008
"2014-02-10",6.722,21.82,12.52,215.02,14.991
"2014-02-11",6.733,22.076,12.59,214.96001,15.132
"2014-02-12",6.744,22.313,12.58,215.16,15.282
"2014-02-13",6.754,22.145,12.59,214.97,15.201
"2014-02-14",6.753,22.135,12.65,214.82001,15.336
"2014-02-17",6.762,22.194,12.66,215.03999,15.462
"2014-02-18",6.763,22.214,12.67,214.66,15.442
"2014-02-19",6.774,22.145,12.64,214.25999,15.471
"2014-02-20",6.786,22.096,12.56,214.78999,15.351
"2014-02-21",6.788,22.175,12.58,215.7,15.467
"2014-02-24",6.799,22.283,12.65,216.39999,15.386
"2014-02-25",6.807,22.194,12.67,216.75,15.399
"2014-02-26",6.819,22.214,12.59,216.69,15.45
"2014-02-27",6.83,22.125,12.64,217.36,15.539
"2014-02-28",6.837,22.224,12.69,217.52,15.59
"2014-03-03",6.85,21.82,12.62,216.44,15.446
"2014-03-04",6.844,22.273,12.64,217.25999,15.458
"2014-03-05",6.851,22.382,12.69,217.3,15.538
"2014-03-06",6.853,22.46,12.78,217.53999,15.661
"2014-03-07",6.849,22.322,12.73,217.16,15.714
"2014-03-10",6.836,22.214,12.72,216.59,15.534
"2014-03-11",6.828,22.185,12.71,216.71001,15.575
"2014-03-12",6.831,21.978,12.72,216.06,15.351
"2014-03-13",6.829,21.781,12.74,216.03,15.321
"2014-03-14",6.83,21.603,12.74,215.47,15.292
"2014-03-17",6.822,21.741,12.78,215.78,15.332
"2014-03-18",6.828,21.85,12.78,216.02,15.355
"2014-03-19",6.839,21.869,12.77,215.87,15.316
"2014-03-20",6.848,22.086,12.64,216.42999,15.049
"2014-03-21",6.836,22.076,12.66,216.88,15.184
"2014-03-24",6.846,21.889,12.67,217.7,15.362
"2014-03-25",6.849,21.958,12.71,218.74001,15.371
"2014-03-26",6.854,22.047,12.73,219.47,15.587
"2014-03-27",6.862,21.879,12.78,220.42999,15.735
"2014-03-28",6.858,22.047,12.77,220.21001,15.888
"2014-03-31",6.862,22.165,12.81,220.23,15.987
"2014-04-01",6.867,22.332,12.81,220.58,16.117
"2014-04-02",6.874,22.451,12.76,220.67,16.186
"2014-04-03",6.874,22.48,12.72,220.92999,16.193
"2014-04-04",6.876,22.579,12.77,221.67999,16.159
"2014-04-07",6.883,22.086,12.78,221.82001,16.192
"2014-04-08",6.881,21.938,12.86,222.46001,16.314
"2014-04-09",6.879,21.938,12.85,222.59,16.467
"2014-04-10",6.883,21.731,12.89,222.86,16.506
"2014-04-11",6.889,21.406,12.85,222.77,16.457
"2014-04-14",6.881,21.475,12.84,222.61,16.436
"2014-04-15",6.885,21.259,12.8,222.34,16.354
"2014-04-16",6.884,21.574,12.8,222.22,16.337
"2014-04-17",6.885,21.771,12.8,222.38,16.393
"2014-04-18",,21.781,12.79,,
"2014-04-21",,21.83,12.79,,
"2014-04-22",6.886,21.968,12.81,222.56,16.35
"2014-04-23",6.89,21.889,12.77,222.78,16.279
"2014-04-24",6.892,21.919,12.76,222.28999,16.294
"2014-04-25",6.896,21.682,12.76,221.48,16.134
"2014-04-28",6.896,21.544,12.77,221.69,16.094
"2014-04-29",6.897,21.869,12.78,221.88,16.177
"2014-04-30",6.899,21.761,12.83,222.35001,16.082
"2014-05-01",,21.909,12.85,,
"2014-05-02",6.908,21.948,12.85,223.14,16.098
"2014-05-05",6.913,21.8,12.85,223.2,16.027
"2014-05-06",6.914,21.702,12.91,223.58,16.038
"2014-05-07",6.919,21.672,12.91,224.48,15.959
"2014-05-08",6.921,21.938,12.94,224.92,16.041
"2014-05-09",6.929,21.909,12.89,224.92999,16.058
"2014-05-12",6.935,22.135,12.89,225.02,16.147
"2014-05-13",6.941,22.244,12.91,225.16,16.281
"2014-05-14",6.945,22.214,12.92,225.11,16.471
"2014-05-15",6.952,21.81,12.88,225.12,16.503
"2014-05-16",6.947,21.948,12.9,225.14,16.602
"2014-05-19",6.953,21.988,12.91,225.42999,16.722
"2014-05-20",6.955,21.997,12.86,225.52,16.674
"2014-05-21",6.958,22.125,12.85,225.85001,16.653
"2014-05-22",6.954,22.263,12.87,225.99001,16.786
"2014-05-23",6.953,22.362,12.86,226.14999,16.843
"2014-05-26",6.954,22.46,12.87,226.28,16.833
"2014-05-27",6.955,22.608,12.84,226.39999,16.767
"2014-05-28",6.96,22.677,12.82,227.53999,16.881
"2014-05-29",,22.638,12.85,,
"2014-05-30",6.968,22.598,12.81,228.56,16.814
"2014-06-02",6.977,22.707,12.78,228.57001,16.873
"2014-06-03",6.981,22.618,12.76,228.35001,17.028
"2014-06-04",6.978,22.707,12.76,228.42999,16.965
"2014-06-05",6.981,22.825,12.79,228.96001,17.013
"2014-06-06",6.986,23.042,12.84,230.58,17.003
"2014-06-09",,23.189,12.82,,
"2014-06-10",7.006,23.219,12.8,230.58,17.176
"2014-06-11",7.011,23.12,12.82,230.64999,17.146
"2014-06-12",7.013,23.061,12.86,230.5,17.123
"2014-06-13",7.014,22.983,12.85,230.89999,17.064
"2014-06-16",7.017,22.776,12.87,229.42999,17.058
"2014-06-17",7.019,22.953,12.83,228.56,17.079
"2014-06-18",7.02,22.864,12.83,228.95,17.009
"2014-06-19",7.023,22.904,12.85,229.33,17.068
"2014-06-20",7.035,22.943,12.84,229.49001,17.02
"2014-06-23",,22.864,12.88,,
"2014-06-24",7.046,22.904,12.86,229.89,17.049
"2014-06-25",7.048,22.697,12.87,230.17,16.988
"2014-06-26",7.043,22.687,12.87,230.37,17.151
"2014-06-27",7.044,22.726,12.88,230.49001,17.145
"2014-06-30",7.044,22.648,12.9,230.14999,17.206
"2014-07-01",7.041,22.884,12.91,230.81,17.214
"2014-07-02",7.045,22.963,12.88,230.92999,17.437
"2014-07-03",7.046,23.17,12.85,230.84,17.459
"2014-07-04",7.046,23.13,12.85,231.14,17.473
"2014-07-07",7.049,23.002,12.85,231.06,17.529
"2014-07-08",7.051,22.756,12.87,231.28999,17.55
"2014-07-09",7.047,22.766,12.89,231.25,17.411
"2014-07-10",7.047,22.628,12.89,231.37,17.506
"2014-07-11",7.03,22.618,12.87,231.31,17.412
"2014-07-14",7.035,22.825,12.88,231.16,17.425
"2014-07-15",7.038,22.874,12.85,231,17.528
"2014-07-16",7.029,23.12,12.86,231.03999,17.536
"2014-07-17",7.023,22.933,12.85,230.94,17.546
"2014-07-18",7.008,23.042,12.85,231.05,17.527
"2014-07-21",6.997,22.933,12.86,231.12,17.553
"2014-07-22",6.993,23.209,12.86,230.99001,17.705
"2014-07-23",6.998,23.308,12.89,231.39,17.819
"2014-07-24",7.007,23.455,12.85,231.72,17.895
"2014-07-25",7.012,23.406,12.83,230.64,17.908
"2014-07-28",7.01,23.406,12.83,230.07001,17.91
"2014-07-29",7.007,23.475,12.79,229.52,18.039
"2014-07-30",6.999,23.465,12.73,230.2,18.142
"2014-07-31",6.988,23.189,12.71,228.92,18.006
"2014-08-01",6.947,22.815,12.72,227.53999,17.788
"2014-08-04",6.905,22.923,12.73,227.44,17.914
"2014-08-05",6.912,22.923,12.69,226.92999,17.84
"2014-08-06",6.93,22.835,12.7,226.37,17.743
"2014-08-07",6.924,22.726,12.7,282.98,17.678
"2014-08-08",6.937,22.588,12.71,225.74001,17.552
"2014-08-11",6.935,22.884,12.73,226.46001,17.789
"2014-08-12",6.954,22.914,12.73,226.92,17.843
"2014-08-13",6.969,23.081,12.75,226.91,17.962
"2014-08-14",6.991,23.15,12.78,227.47,17.991
"2014-08-15",,23.022,12.77,,
"2014-08-18",7.019,23.357,12.78,228.64999,18.056
"2014-08-19",7.029,23.505,12.75,228.97,18.179
"2014-08-20",7.037,23.544,12.72,228.73,18.181
"2014-08-21",7.045,23.682,12.72,228.56,18.064
"2014-08-22",7.049,23.8,12.71,228.03,18.164
"2014-08-25",7.053,24.056,12.7,228.19,18.164
"2014-08-26",7.055,24.115,12.7,228.73,18.161
"2014-08-27",7.057,24.096,12.73,229.28999,18.214
"2014-08-28",7.059,23.928,12.72,228.73,18.174
"2014-08-29",7.06,24.056,12.72,228.57001,18.134
"2014-09-01",7.064,24.096,12.72,228.23,18.185
"2014-09-02",7.064,24.086,12.66,227.5,18.094
"2014-09-03",7.062,24.214,12.68,228.42999,18.303
"2014-09-04",7.061,24.637,12.65,228.39999,18.347
"2014-09-05",7.046,24.44,12.65,228.39999,18.283
"2014-09-08",7.034,24.431,12.6,227.58,18.311
"2014-09-09",7.029,24.293,12.51,226.98,18.295
"2014-09-10",7.017,24.303,12.52,226.31,18.08
"2014-09-11",6.993,24.293,12.49,226.96001,17.987
