"","LU0261952922","LU0811022283","LU0249332452","LU0170475312","LU0029872446"
"1",10.8627,7.17,119.05972,29.28,8.2
"2",10.8627,7.17,119.05972,29.28,8.2
"3",10.8627,7.167,119.01023,29.31,8.2
"4",10.8628,7.163,119.13892,29.24,8.21
"5",10.8628,7.163,119.4161,29.28,8.22
"6",10.8628,7.168,119.3567,29.3,8.2
"7",10.8628,7.165,119.55469,29.29,8.21
"8",10.8628,7.173,120.17835,29.32,8.24
"9",10.8629,7.197,120.33674,29.26,8.25
"10",10.8629,7.197,120.22785,29.36,8.23
"11",10.8629,7.195,120.13876,29.29,8.22
"12",10.8629,7.2,120.33674,29.28,8.24
"13",10.8629,7.213,120.42584,29.25,8.24
"14",10.863,7.215,120.38624,29.27,8.24
"15",10.863,7.208,120.30704,29.2,8.25
"16",10.863,7.205,120.18826,29.17,8.24
"17",10.863,7.201,120.50503,28.93,8.26
"18",10.8631,7.208,120.73272,28.7,8.27
"19",10.8631,7.194,120.48523,28.7,8.26
"20",10.8631,7.198,120.41594,28.79,8.27
"21",10.8631,7.211,120.81191,28.59,8.3
"22",10.8631,7.215,120.9109,28.6,8.29
"23",10.8632,7.218,121.15839,28.47,8.3
"24",10.8632,7.221,121.58406,28.32,8.33
"25",10.8632,7.216,121.19799,28.56,8.31
"26",10.8632,7.216,120.9604,28.64,8.3
"27",10.8632,7.219,120.67332,28.7,8.31
"28",10.8633,7.219,120.9406,28.75,8.32
"29",10.8633,7.231,120.76241,28.68,8.32
"30",10.8633,7.237,120.41594,28.79,8.31
"31",10.8633,7.239,120.02986,28.83,8.29
"32",10.8633,7.238,120.35654,28.74,8.3
"33",10.8634,7.251,120.38624,28.81,8.29
"34",10.8634,7.254,120.46544,28.88,8.3
"35",10.8634,7.27,120.67332,28.81,8.3
"36",10.8634,7.282,120.57433,28.72,8.29
"37",10.8635,7.276,120.23775,28.72,8.29
"38",10.8635,7.276,120.48523,28.84,8.29
"39",10.8635,7.283,120.60403,28.92,8.29
"40",10.8635,7.287,120.85151,28.92,8.31
"41",10.8635,7.294,121.0693,28.91,8.32
"42",10.8636,7.309,121.34648,28.89,8.32
"43",10.8636,7.315,121.48507,28.95,8.32
"44",10.8636,7.317,121.92064,28.74,8.34
"45",10.8636,7.327,121.64346,28.94,8.32
"46",10.8636,7.327,121.74246,29.02,8.32
"47",10.8637,7.33,121.41578,29.18,8.31
"48",10.8637,7.331,121.23759,29.13,8.3
"49",10.8637,7.333,121.13859,29.05,8.3
"50",10.8637,7.321,121.22768,28.96,8.3
"51",10.8637,7.328,121.38608,28.87,8.31
"52",10.8638,7.33,121.80185,28.79,8.33
"53",10.8638,7.333,121.91074,28.77,8.32
"54",10.8638,7.325,121.78205,28.88,8.3
"55",10.8638,7.324,121.91074,28.88,8.31
"56",10.8639,7.321,121.37618,28.92,8.28
"57",10.8639,7.293,120.82181,28.83,8.27
"58",10.8639,7.297,121.14849,28.8,8.28
"59",10.8639,7.303,121.40587,28.86,8.28
"60",10.8639,7.313,121.51477,28.93,8.28
"61",10.864,7.325,121.82165,28.97,8.29
"62",10.864,7.34,122.08893,29.13,8.3
"63",10.864,7.346,121.69296,29.21,8.29
"64",10.864,7.344,121.78205,29.32,8.28
"65",10.864,7.345,121.58406,29.41,8.29
"66",10.8641,7.356,121.18809,29.41,8.28
"67",10.8641,7.347,121.32668,29.37,8.28
"68",10.8641,7.347,121.87115,29.44,8.31
"69",10.8641,7.365,121.94044,29.42,8.32
"70",10.8641,7.376,121.84145,29.41,8.32
"71",10.8642,7.384,121.92064,29.5,8.31
"72",10.8642,7.393,122.5542,29.44,8.33
"73",10.8642,7.394,122.64329,29.42,8.33
"74",10.8642,7.394,122.5245,29.38,8.32
"75",10.8643,7.389,122.83138,29.32,8.32
"76",10.8643,7.392,122.92048,29.37,8.32
"77",10.8643,7.395,122.71259,29.45,8.29
"78",10.8643,7.39,122.618545,29.45,8.29
"79",10.8643,7.3875,122.5715225,29.45,8.29
"80",10.8644,7.385,122.5245,29.41,8.3
"81",10.8644,7.386,122.87098,29.36,8.31
"82",10.8644,7.388,122.79179,29.33,8.32
"83",10.8644,7.395,122.92048,29.27,8.32
"84",10.8644,7.391,122.69279,29.35,8.32
"85",10.8645,7.384,122.5641,29.43,8.32
"86",10.8645,7.388,122.92048,29.38,8.33
