,LU0815945547,IE00B84J9L26,IE00B8N0MW85,LU0048622798,LU0568621618,LU0064964074,IE00B8N0MW85,LU0992293067,LU0162658883,LU0149982760,LU0028121183,LU0096258446,LU0006061419,LU0880094791,LU0568621618,HK0000098423,HK0000176732,LU0432365988,LU0386018732,LU0252652382,LU0093503810,IE00B11XZ988,LU1003076939,LU0006061385,LU0294219869,LU0261952922,LU0811022283,LU0249332452,LU0170475312,LU0029872446,LU0096258446,LU0172418690,LU0386018732,LU0507748050,LU0476943617,IE00B8K7V925,HK0000065166,LU0149982760,LU0425308086,LU0459992979,IE0000829568,HK0000204559,LU0252652382,LU0154355936,IE0032578035,LU0880094791,LU0028121183,KYG5800M1399,HK0000204534,LU0052767562
2014/1/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/1/2,8.89,11,8.22,6.142,100.9,9.264701,8.22,,14.26,12.902,87.02,17.32,150.79,,100.9,80.26,,73.89,0.9122,28.59,15.38,24.11,8.83,25.18,20.7,10.8627,7.17,119.05972,29.28,8.2,17.32,8.03,0.9122,0.7378,8.39,8.304,113.7,12.902,12.22,9.04,25.37,,28.59,16.171,7.09538,,87.02,,,9.42
2014/1/3,8.89,11,8.22,6.141,100.9,9.264701,8.22,,14.26,12.928,87.02,17.34,150.79,,100.9,80.27,,73.89,0.913,28.64,15.39,24.1,8.83,25.2,20.73,10.8627,7.167,119.01023,29.31,8.2,17.34,8.04,0.913,0.7376,8.41,8.304,113.69,12.928,12.23,9.08,25.43,,28.64,16.16,7.10334,,87.02,,,9.42
2014/1/6,8.89,11.01,8.23,6.153,100.9,9.264701,8.23,,14.3,12.921,87.02,17.35,150.79,,100.9,80.22,,73.89,0.9138,28.57,15.4,24.13,8.83,25.22,20.68,10.8628,7.163,119.13892,29.24,8.21,17.35,8.04,0.9138,0.7366,8.38,8.3197,113.63,12.921,12.25,9.07,25.4,,28.57,16.153,7.10334,,87.02,,,9.42
2014/1/7,8.9,11.03,8.25,6.156,100.9,9.264701,8.25,,14.32,12.955,87.02,17.37,150.79,,100.9,80.23,,73.89,0.9151,28.6,15.41,24.16,8.83,25.26,20.71,10.8628,7.163,119.4161,29.28,8.22,17.37,8.06,0.9151,0.7363,8.4,8.3355,113.71,12.955,12.25,9.08,25.48,,28.6,16.154,7.1113,,87.02,,,9.42
2014/1/8,8.89,11.02,8.23,6.144,100.9,9.264701,8.23,,14.32,12.978,87.02,17.41,150.79,,100.9,80.25,,73.89,0.9162,28.57,15.41,24.06,8.85,25.27,20.68,10.8628,7.168,119.3567,29.3,8.2,17.41,8.08,0.9162,0.7372,8.38,8.3276,113.7,12.978,12.27,9.09,25.42,,28.57,16.164,7.1113,,87.02,,,9.42
2014/1/9,8.89,11.03,8.24,6.144,100.9,9.264701,8.24,,14.32,12.934,87.02,17.37,150.79,,100.9,80.27,,73.89,0.9166,28.58,15.42,24.08,8.85,25.26,20.69,10.8628,7.165,119.55469,29.29,8.21,17.37,8.05,0.9166,0.737,8.39,8.3355,113.61,12.934,12.28,9.11,25.39,,28.58,16.157,7.1113,,87.02,,,9.42
2014/1/10,8.89,11.11,8.29,6.177,100.9,9.264701,8.29,,14.33,12.946,87.02,17.36,150.79,,100.9,80.29,,73.89,0.9177,28.68,15.41,24.24,8.83,25.27,20.76,10.8628,7.173,120.17835,29.32,8.24,17.36,8.05,0.9177,0.7394,8.42,8.3906,113.62,12.946,12.34,9.12,25.4,,28.68,16.174,7.1113,,87.02,,,9.42
2014/1/13,8.9,11.13,8.31,6.191,100.9,9.264701,8.31,,14.36,13.029,87.02,17.48,150.79,,100.9,80.32,,73.89,0.9189,28.65,15.42,24.29,8.84,25.3,20.74,10.8629,7.197,120.33674,29.26,8.25,17.48,8.11,0.9189,0.7423,8.41,8.3984,113.81,13.029,12.37,9.11,25.63,,28.65,16.229,7.1113,,87.02,,,9.42
2014/1/14,8.9,11.11,8.3,6.186,100.9,9.264701,8.3,,14.36,13.054,87.02,17.52,150.79,,100.9,80.29,,73.89,0.9191,28.73,15.42,24.22,8.84,25.33,20.8,10.8629,7.197,120.22785,29.36,8.23,17.52,8.12,0.9191,0.7419,8.43,8.3906,113.82,13.054,12.37,9.12,25.64,,28.73,16.23,7.1113,,87.02,,,9.42
