"X","HK0000421435","HK0000065208","HK0000081361","HK0000065216","IE00B8HR5X72","LU0841155764","LU0871639620","LU0982800228","LU0882574212","LU1046420987","LU0994605391","LU0820561909","KYG9319N1337","KYG9319N1253","LU0820561818","LU0997586788","LU0238205289","LU0011963328","HK0000211927","LU0882574139","GB0000796242","LU0077335932","LU0237698757","LU0882574055","LU0154236417","LU0261959422","LU0119124781","LU0114721508","IE00B0JY6M65","LU0157922724","LU1046421795","LU0231457747","LU0088927925","LU0209156925","LU0114720955","LU0056508442","LU0823421333","LU0823421416","LU0070992663","LU0231462077","LU0099574567","LU0171311680","LU0171310443","LU0109392836","LU0248271941","LU1997245177","LU0318931192","LU0572944774","IE0004866889","HK0000074176","base1","base2"
2014-01-01,118.08,17.55,7.76,9.72,100.99,7.859195,8.111624,7.58,8.14234,7.448,5.05,6.01,5.65,11.35,6.23,10,14.84,30.1458,5.5515,11.38,2280.27,33.84,10.66,11.78,23.01,14.98,36.076,33.23,26.9934,38.28,10,2.6221,26.12,20.28267,24.39,16.08,527.08,132.91,45.62,57.3769,8.686,9.79,11.79,9.26,14.7,4.16,9.649,10.04,632.7545,8.07,2321.978,1831.97998
2014-01-02,118.08,17.55,7.76,9.72,100.99,7.859195,8.111624,7.58,8.14234,7.448,5.05,6.01,5.65,11.35,6.23,10,14.84,30.1458,5.5515,11.38,2280.27,33.84,10.66,11.78,23.01,14.98,36.076,33.23,26.9934,38.28,10,2.6221,26.12,20.28267,24.39,16.08,527.08,132.91,45.62,57.3769,8.686,9.79,11.79,9.26,14.7,4.16,9.649,10.04,632.7545,8.07,2321.978,1831.97998
2014-01-03,118,17.53,7.76,9.7,101.02,7.851051,8.104521,7.57,8.15023,7.448,5.04,6.01,5.64,11.33,6.22,10,14.93,29.9875,5.5515,11.38,2293.89,33.82,10.71,11.81,23,15.1,36.354,33.39,27.207,38.39,10,2.6101,26.07,20.24693,24.56,16.110001,525.44,132.49,45.55,57.8971,8.692,9.81,11.84,9.27,14.8,4.11,9.534,9.95,624.31924,7.9,2290.779,1831.369995
2014-01-06,118.03,17.52,7.75,9.7,101.26,7.859195,8.104521,7.57,8.16601,7.448,5.04,5.99,5.64,11.34,6.22,10,14.94,29.8685,5.5515,11.33,2304.58,33.64,10.68,11.79,23.01,15.08,36.324,33.18,27.1197,38.28,10,2.6167,26.2,20.34522,24.48,16.040001,524.25,132.2,45.28,57.867,8.671,9.77,11.78,9.23,14.73,4.02,9.358,9.83,618.40965,7.67,2238.637,1826.77002
2014-01-07,117.94,17.48,7.73,9.68,101.46,7.851051,8.097418,7.59,8.18179,7.448,5.04,6,5.64,11.32,6.22,10,14.97,29.8836,5.5515,11.36,2304.58,34.01,10.76,11.86,23.04,15.08,36.314,33.3,26.9953,38.48,10,2.5989,26.33,20.4435,24.67,16.049999,529.99,133.64,45.6,57.5029,8.704,9.79,11.78,9.35,14.65,4.02,9.408,9.71,614.30413,7.66,2238.001,1837.880005
2014-01-08,117.76,17.44,7.72,9.66,101.41,7.842907,8.083212,7.58,8.18179,7.448,5.05,6.01,5.63,11.31,6.23,10,14.96,29.8314,5.5515,11.33,2299.72,34.25,10.77,11.96,23.07,15.1,36.364,33.29,27.2064,38.68,10,2.6174,26.42,20.51498,24.93,16.1,532.16,134.18,45.86,57.7999,8.778,9.79,11.84,9.4,14.75,4.04,9.525,9.91,624.27043,7.63,2241.911,1837.48999
2014-01-09,117.86,17.45,7.72,9.67,101.41,7.851051,8.097418,7.58,8.18968,7.448,5.08,6.04,5.63,11.31,6.26,10,14.97,29.8415,5.5515,11.23,2311.39,34.2,10.7,11.99,23.27,15.03,36.195,33,27.1834,38.56,10,2.6102,26.6,20.65794,24.98,16.17,529.21,133.45,45.9,57.5342,8.671,9.83,11.92,9.34,14.83,4,9.419,9.78,617.77577,7.59,2222.221,1838.130005
2014-01-10,118,17.48,7.73,9.68,101.73,7.851051,8.104521,7.6,8.19757,7.448,5.08,6.04,5.64,11.34,6.26,10,14.93,29.8306,5.5515,11.3,2326.95,34.21,10.73,12.05,23.21,15.07,36.295,33.02,27.2473,38.46,10,2.5996,26.75,20.7741,24.97,16.1,530.73,133.82,45.64,57.8495,8.643,9.76,11.77,9.38,14.78,3.96,9.373,9.75,617.02486,7.54,2204.851,1842.369995
2014-01-13,117.95,17.48,7.73,9.68,101.98,7.867339,8.111624,7.61,8.20545,7.448,5.09,6.05,5.64,11.34,6.27,10.04,14.97,29.5254,5.5515,11.31,2345.42,34.4,10.75,12.08,23.27,15.1,36.364,33.09,27.5496,38.76,10,2.6124,26.79,20.80091,25.06,16.129999,524.61,132.28,45.82,58.8162,8.73,9.85,11.81,9.25,15.06,3.96,9.403,9.73,617.34669,7.48,2193.679,1819.199951
2014-01-14,117.89,17.46,7.73,9.68,101.94,7.875484,8.12583,7.61,8.20545,7.448,5.06,6.02,5.64,11.33,6.24,9.98,14.94,29.4162,5.5515,11.27,2335.7,34.35,10.73,12.04,23.02,15.09,36.334,32.89,27.5389,38.59,10,2.5845,26.65,20.69368,24.91,15.92,533.31,134.47,45.41,58.3902,8.723,9.7,11.64,9.42,15,3.99,9.394,9.67,613.81654,7.57,2212.846,1838.880005
2014-01-15,117.95,17.48,7.73,9.68,101.9,7.883628,8.132933,7.63,8.21334,7.448,5.09,6.06,5.64,11.34,6.28,10.06,15.03,29.5619,5.5515,11.31,2352.23,34.67,10.84,12.1,23.33,15.19,36.572,33.18,27.7616,39.1,10,2.6201,26.8,20.80984,25.19,16.120001,540.25,136.23,46.18,58.9507,8.909,9.86,11.86,9.51,15.21,4.01,9.467,9.8,621.16937,7.59,2208.941,1848.380005
2014-01-16,118.06,17.5,7.74,9.69,102.07,7.883628,8.132933,7.64,8.22124,7.448,5.1,6.07,5.65,11.35,6.29,10.02,15.05,30.1312,5.5515,11.29,2361.95,34.61,10.8,12.12,23.35,15.14,36.463,33.13,27.696,39.01,10,2.6494,26.72,20.74729,25.24,16.129999,539.84,136.11,46.27,59.0746,8.903,9.86,11.83,9.53,15.09,3.99,9.418,9.83,622.67118,7.65,2211.844,1845.890015
2014-01-17,118.08,17.5,7.74,9.69,102.25,7.908061,8.154242,7.64,8.22913,7.448,5.1,6.07,5.65,11.37,6.29,10.04,15.13,30.2238,5.5515,11.25,2350.28,34.61,10.89,12.12,23.27,15.17,36.533,33.14,27.4626,39.14,10,2.6398,27.07,21.02428,25.33,16.17,537.12,135.44,46.14,58.2073,8.938,9.83,11.91,9.53,15,3.96,9.45,9.92,624.3387,7.57,2178.488,1838.699951
2014-01-20,118.06,17.48,7.73,9.68,102.32,7.908061,8.161345,7.64,8.23701,7.448,5.105,6.075,5.65,11.35,6.295,10.06,15.12,30.1248,5.5515,11.27,2341.53,34.54,10.85,12.12,23.24,15.21,36.642,33.18,27.5219,38.99,10,2.6298,27.27,21.17618,25.3,16.129999,537.655,135.57,46.06,58.5343,8.93,9.81,11.89,9.52,15.15,3.92,9.379,9.87,620.88659,7.54,2165.993,1841.25
2014-01-21,117.97,17.45,7.72,9.66,102.34,7.908061,8.154242,7.63,8.23701,7.448,5.11,6.08,5.64,11.34,6.3,10.04,15.11,30.1274,5.5515,11.29,2342.51,34.42,10.87,12.14,23.35,15.26,36.741,33.23,27.4632,38.93,10,2.6356,27.4,21.27447,25.35,16.17,538.19,135.7,46.28,58.2822,8.924,9.82,11.95,9.56,15.13,3.96,9.399,9.92,625.77224,7.61,2187.41,1843.800049
2014-01-22,117.75,17.38,7.69,9.63,102.3,7.899916,8.154242,7.62,8.23701,7.448,5.11,6.08,5.63,11.31,6.31,10.03,15.09,30.0195,5.5515,11.32,2321.11,34.7,10.96,12.18,23.28,15.26,36.751,33.36,27.4523,39.08,10,2.6176,27.46,21.31914,25.45,16.200001,539.66,136.07,46.36,57.7929,8.988,9.78,11.94,9.63,15.17,4.06,9.534,9.92,629.25364,7.9,2243.796,1844.859985
2014-01-23,117.7,17.36,7.68,9.61,102.21,7.891772,8.140036,7.61,8.22124,7.448,5.11,6.08,5.62,11.29,6.3,9.96,14.92,29.8701,5.5515,11.25,2326.95,34.52,10.77,12.14,23.13,15.1,36.364,32.84,27.5057,38.53,10,2.606,27.56,21.39956,25.13,16.09,537.07,135.41,45.99,57.5236,8.814,9.69,11.78,9.55,15,4.04,9.271,9.75,619.9992,7.84,2231.889,1828.459961
2014-01-24,117.35,17.28,7.66,9.57,102.05,7.916205,8.168448,7.55,8.18968,7.448,5.09,6.05,5.6,11.24,6.27,9.79,14.83,29.7281,5.5515,11.09,2283.19,33.91,10.61,11.96,22.89,14.78,35.6,32.35,26.9707,37.84,10,2.5798,27.13,21.06896,24.75,15.89,524.83,132.33,45.7,56.2964,8.727,9.63,11.61,9.31,14.65,4.08,9.078,9.52,603.5089,7.91,2245.678,1790.290039
2014-01-27,117.23,17.24,7.64,9.55,101.94,7.891772,8.140036,7.53,8.18179,7.448,5.04,5.99,5.58,11.22,6.21,9.7,14.81,29.6769,5.5515,10.94,2242.35,33.47,10.51,11.79,22.61,14.64,35.262,31.93,26.1799,37.41,10,2.5468,26.89,20.87239,24.4,15.62,517.79,130.56,45.05,55.1906,8.602,9.42,11.43,9.21,14.18,4.01,8.923,9.32,589.86615,7.78,2215.919,1781.560059
2014-01-28,117.56,17.3,7.66,9.58,101.94,7.867339,8.111624,7.54,8.19757,7.448,5.02,5.97,5.61,11.27,6.19,9.81,14.86,29.4437,5.5515,11,2270.55,33.7,10.58,11.87,22.59,14.79,35.62,32.16,26.2513,37.72,10,2.5339,27.07,21.01535,24.6,15.58,517.33,130.45,44.56,55.5098,8.608,9.39,11.4,9.31,14.25,4.01,9.01,9.38,593.25,7.82,2219.855,1792.5
2014-01-29,117.8,17.34,7.68,9.61,101.92,7.883628,8.132933,7.54,8.18968,7.448,5.02,5.97,5.65,11.36,6.18,9.78,14.85,29.6211,5.5515,10.95,2290.97,33.77,10.52,11.88,22.49,14.72,35.451,31.98,26.4251,37.71,10,2.5511,27.23,21.14044,24.62,15.61,511.55,128.99,44.59,55.8249,8.629,9.42,11.43,9.21,14.33,4.02,9.065,9.51,602.28993,7.79,2227.781,1774.199951
2014-01-30,117.73,17.32,7.67,9.59,101.81,7.891772,8.140036,7.54,8.18179,7.448,5.01,5.96,5.61,11.27,6.17,9.79,14.94,29.5172,5.5515,10.91,2266.66,34.11,10.68,12,22.54,14.7,35.411,32.15,26.1196,38.04,10,2.5399,26.94,20.91706,25.07,15.59,519.25,130.93,44.76,55.4131,8.693,9.44,11.48,9.45,14.19,3.97,9.195,9.5,599.43265,7.67,2202.45,1794.189941
2014-01-31,117.65,17.305,7.665,9.585,101.85,7.890299,8.137893,7.52,8.16601,7.448,5.02,5.97,5.6,11.255,6.18,9.79,14.93,29.5125,5.5515,10.89,2252.07,34.03,10.72,11.94,22.42,14.75,35.51,32.19,26.2455,38.02,10,2.5635,26.87,20.86345,25.03,15.58,519.03,130.87,44.65,55.7368,8.73,9.46,11.55,9.37,14.48,3.975,9.185,9.54,601.70484,7.69,2207.4665,1782.589966
2014-02-03,117.61,17.2975,7.6625,9.5825,101.95,7.890299,8.137893,7.5,8.17504,7.448,5.01,5.96,5.595,11.2475,6.17,9.71,14.94,29.4222,5.5515,10.72,2271.52,33.29,10.54,11.83,22.48,14.6,35.163,31.65,26.0271,37.36,10,2.581,26.9,20.89026,24.77,15.56,508.15,128.13,44.85,55.3045,8.576,9.51,11.52,9.13,14.27,3.9775,9.052,9.58,603.37236,7.7,2209.97475,1741.890015
2014-02-04,117.57,17.29,7.66,9.58,102.13,7.890299,8.137893,7.5,8.16712,7.448,4.96,5.89,5.59,11.24,6.1,9.69,14.99,28.9182,5.5515,10.72,2235.54,33.29,10.67,11.76,22.05,14.55,35.044,31.68,26.0492,37.4,10,2.5276,26.66,20.70262,24.66,15.18,507.56,127.98,44.01,55.4977,8.578,9.31,11.23,9.22,14.24,3.97875,8.96,9.28,580.30942,7.705,2211.228875,1755.199951
2014-02-05,117.59,17.3,7.66,9.58,102.34,7.890299,8.137893,7.49,8.17504,7.448,4.95,5.89,5.59,11.24,6.1,9.7,15,28.813,5.5515,10.72,2271.52,33.27,10.63,11.77,21.99,14.55,35.034,31.66,26.1804,37.32,10,2.5307,26.71,20.74729,24.64,15.09,507.82,128.05,43.83,55.8593,8.557,9.27,11.16,9.21,14.33,3.979375,8.897,9.22,577.87147,7.7075,2211.8559375,1751.640015
2014-02-06,117.76,17.33,7.67,9.6,102.38,7.890299,8.137893,7.53,8.19088,7.448,4.97,5.9,5.6,11.26,6.12,9.78,14.95,29.0556,5.5515,10.91,2284.16,33.61,10.66,11.82,22.24,14.7,35.401,32.01,26.1609,37.54,10,2.5159,26.93,20.90813,24.6,15.27,514.32,129.68,44.28,55.8673,8.63,9.36,11.22,9.37,14.24,3.9796875,8.939,9.28,581.73314,7.70875,2212.16946875,1773.430054
2014-02-07,118,17.36,7.68,9.61,102.48,7.898468,8.145037,7.55,8.1988,7.448,5,5.94,5.62,11.3,6.15,9.85,14.94,29.1928,5.5515,11,2304.58,33.87,10.74,11.93,22.52,14.82,35.699,32.25,26.3096,37.85,10,2.5425,27.28,21.18511,24.82,15.47,520.98,131.36,44.81,56.0198,8.712,9.44,11.39,9.53,14.33,3.98,9.028,9.35,588.18881,7.71,2212.483,1797.02002
