ISIN,ifund_name_chinese
LU0107464264,安本標準 - 科技股票基金 A類 Acc 美元
LU0094541447,安本標準 - 歐洲股票基金 A2類 Acc 歐元
LU0011963831,安本標準 - 北美股票基金 A2 類 Acc 美元
LU0011963674,安本標準 - 日本股票基金 A類 Acc 日圓
LU0132414144,安本標準 - 新興市場債券基金 A2類 Acc 美元
LU0011963245,安本標準 - 亞太股票基金 A類 Acc 美元
LU0132412106,安本環球 - 新興市場股票基金 A2類 Acc 美元
LU0011963328,安本標準 - 澳洲股票基金A2 類Acc澳元
LU0231459107,安本標準 - 亞洲小型公司基金 A類 Acc 美元
LU0231483743,安本標準 - 中國股票基金 A類 Acc 美元
LU0231490524,安本標準 - 印度股票基金 A類 Acc 美元
LU0231460295,安本標準 - 中國股票基金 A類 Acc 英鎊
LU0231462077,安本標準 - 印度股票基金 A類 Acc 英鎊
LU0231455378,安本標準 - 亞太股票基金 A類 Acc 英鎊
LU0231457747,安本標準 - 科技股票基金 A類 Acc 英鎊
LU0231459958,安本標準 - 亞洲小型公司基金 A類 Acc 英鎊
LU0278937759,安本標準 - 新興市場小型公司基金 A2類 Acc 美元
LU0094547139,安本標準 - 世界股票基金 A2類 Acc 美元
LU0396314238,安本標準 - 拉丁美洲股票基金 A類 Acc 美元
LU0094548533,安本標準 - 亞洲當地貨幣短期債券基金 A類 Acc 美元
LU0278936439,安本標準 - 日本小型公司基金 A2類 Acc 日圓
LU0231454991,安本標準 - 北美股票基金 D2 類 Acc 英鎊
LU0396313180,安本標準 - 亞洲地產股票基金 A2 類Acc 美元
LU0505664713,安本標準 - 東歐股票基金 A2類 Acc 歐元
LU0505661966,安本標準 - 歐洲股息基金A2 類Acc 歐元
LU0505663152,安本標準 - 世界資源股票基金 A2類 Acc 美元
LU0278933410,安本標準 - 日本小型公司基金 D2類 Acc 英鎊
LU0278932362,安本標準 - 新興市場小型公司基金 D2類 Acc 英鎊
LU0119176310,安本標準 - 歐元高收益債券基金 A類 Acc 歐元
LU0011963757,安本標準 - 英國股票基金 A2類 Acc 英鎊
LU0912262788,安本標準 - 日本股票基金 A類 Acc 美元(對沖)
