"","LU1997245177","LU0109392836","LU0359201612","LU0823426308","LU0594300179"
"2014-01-02",4.16,9.26,12.88,330.32001,13.93
"2014-01-03",4.11,9.27,12.63,325.57001,13.79
"2014-01-06",4.02,9.23,12.48,320.82999,13.7
"2014-01-07",4.02,9.35,12.43,320.76001,13.81
"2014-01-08",4.04,9.4,12.56,323.01999,13.94
"2014-01-09",4,9.34,12.44,321.84,13.75
"2014-01-10",3.96,9.38,12.41,320.14002,13.75
"2014-01-13",3.96,9.25,12.45,320.57999,13.79
"2014-01-14",3.99,9.42,12.42,319.91,13.78
"2014-01-15",4.01,9.51,12.47,323.06,13.88
"2014-01-16",3.99,9.53,12.49,322.64999,13.81
"2014-01-17",3.96,9.53,12.5,323.87,13.96
"2014-01-20",3.92,9.52,12.39,321.66,13.85
"2014-01-21",3.96,9.56,12.47,322.28,13.84
"2014-01-22",4.06,9.63,12.56,323.45999,13.83
"2014-01-23",4.04,9.55,12.4,316.10001,13.59
"2014-01-24",4.08,9.31,12.2,308.48001,13.24
"2014-01-27",4.01,9.21,11.9,301.72,13.08
"2014-01-28",4.01,9.31,11.95,304.35001,13.23
"2014-01-29",4.02,9.21,11.99,306.09,13.29
"2014-01-30",3.97,9.45,,308.51001,13.41
"2014-01-31",,9.37,,,13.35
"2014-02-03",,9.13,,,13.2
"2014-02-04",,9.22,11.69,298.17999,13.08
"2014-02-05",,9.21,11.62,294.44,12.84
"2014-02-06",,9.37,11.75,300.48001,13.12
"2014-02-07",3.98,9.53,11.92,304.95999,13.23
"2014-02-10",4.08,9.56,11.95,304.94,13.21
"2014-02-11",4.08,9.66,12.09,308.85999,13.47
"2014-02-12",4.08,9.72,12.19,310.89002,13.51
"2014-02-13",4.05,9.86,12.09,308.72,13.51
"2014-02-14",4.08,9.89,12.18,310.5,13.6
"2014-02-17",4.11,9.89,12.35,313.64002,13.69
"2014-02-18",4.04,9.96,12.34,313,13.78
"2014-02-19",4.07,9.92,12.34,314.06,13.76
"2014-02-20",4.01,10,12.19,310.48999,13.61
"2014-02-21",3.98,10,12.22,310.57001,13.69
"2014-02-24",3.89,10.08,12.1,309.04999,13.61
"2014-02-25",3.75,10.07,12.02,304.53,13.57
"2014-02-26",3.75,10.1,12.14,308.06,13.71
"2014-02-27",3.71,10.16,12.35,312.81,13.93
"2014-02-28",3.77,10.08,12.34,314.91,13.96
"2014-03-03",3.79,10,12.2,310.66,13.75
"2014-03-04",3.78,10.2,12.25,314.85999,13.96
"2014-03-05",3.75,10.22,12.22,313.60999,13.92
"2014-03-06",3.76,10.21,12.32,316.75,14.09
"2014-03-07",3.77,10.16,12.33,315.03,13.91
"2014-03-10",3.67,10.1,12.1,308.73999,13.69
"2014-03-11",3.69,10.02,12.11,309.92999,13.75
"2014-03-12",3.69,10.08,11.92,306.26999,13.58
"2014-03-13",3.73,9.89,11.86,302.39999,13.39
"2014-03-14",3.69,9.88,11.71,296.67001,13.25
"2014-03-17",3.72,9.99,11.67,299.12,13.34
"2014-03-18",3.7,10.12,11.8,299.73001,13.42
"2014-03-19",3.65,10.04,11.77,298.23999,13.38
"2014-03-20",3.57,10.1,11.58,294.57999,13.21
"2014-03-21",3.67,9.96,11.73,298.45999,13.32
"2014-03-24",3.7,9.83,11.99,299.01001,13.32
"2014-03-25",3.68,9.83,11.86,297.79999,13.25
"2014-03-26",3.68,9.66,11.99,300.67001,13.29
"2014-03-27",3.64,9.65,11.93,296.63,13.06
"2014-03-28",3.63,9.65,12.1,303.17999,13.29
"2014-03-31",3.62,9.75,12.14,304.67999,13.37
"2014-04-01",3.66,9.92,12.24,310.82001,13.69
"2014-04-02",3.67,9.91,12.26,309.14002,13.67
"2014-04-03",3.66,9.77,12.28,307.59,13.59
"2014-04-04",3.71,9.5,12.22,305,13.52
"2014-04-07",,9.36,12.18,302.88,13.26
"2014-04-08",3.79,9.46,12.32,304.79999,13.39
"2014-04-09",3.79,9.64,12.45,309.84,13.55
"2014-04-10",3.86,9.31,12.64,313.29001,13.84
"2014-04-11",3.86,9.16,12.39,307.29999,13.55
"2014-04-14",3.86,9.24,12.4,306.84,13.58
"2014-04-15",3.79,9.32,12.16,303.5,13.29
"2014-04-16",3.79,9.44,12.19,303.48999,13.38
"2014-04-17",3.78,9.49,12.25,305.97,13.44
"2014-04-18",,,,,13.4
"2014-04-21",,9.53,,,13.42
"2014-04-22",3.72,9.61,12.26,307.51001,13.44
"2014-04-23",3.7,9.51,12.15,304.54001,13.37
"2014-04-24",3.69,9.52,12.17,303.64002,13.4
"2014-04-25",3.64,9.27,12,299.95001,13.17
"2014-04-28",3.6,9.16,11.93,295.57999,12.94
"2014-04-29",3.65,9.24,12.06,297.95001,13.02
"2014-04-30",3.68,9.3,11.9,294.88,12.81
"2014-05-01",,9.33,,,12.9
"2014-05-02",,9.33,11.96,297.51999,12.94
"2014-05-05",3.7,9.36,11.89,294.10999,12.89
"2014-05-06",,9.22,11.89,,12.93
"2014-05-07",3.67,9.16,11.72,289.01001,12.69
"2014-05-08",3.66,9.16,11.76,286.45001,12.64
"2014-05-09",3.65,9.18,11.74,285.75,12.6
"2014-05-12",3.7,9.38,11.93,293.44,12.84
"2014-05-13",3.7,9.32,11.97,294.64999,12.84
"2014-05-14",3.71,9.25,12.11,297.70999,12.9
"2014-05-15",3.66,9.18,12.11,298.39999,12.86
"2014-05-16",3.64,9.26,12.06,298.06,12.92
"2014-05-19",3.58,9.35,12.06,296.73001,12.89
"2014-05-20",3.59,9.27,12.09,296.95999,12.93
"2014-05-21",3.62,9.35,12.18,301.32001,13.03
"2014-05-22",3.62,9.43,12.34,304.64999,13.14
"2014-05-23",3.65,9.52,12.35,306.38,13.16
"2014-05-26",3.68,9.51,12.35,306.89002,13.2
"2014-05-27",3.66,9.64,12.43,306.51001,13.16
"2014-05-28",3.69,9.62,12.42,307.10999,13.22
"2014-05-29",,9.67,,,13.15
"2014-05-30",3.67,9.62,12.34,307.17999,13.23
"2014-06-02",,9.59,12.34,,13.27
"2014-06-03",3.65,9.59,12.52,309.76001,13.24
"2014-06-04",3.61,9.61,12.43,307.5,13.15
"2014-06-05",3.65,9.72,12.47,309.53,13.21
"2014-06-06",3.63,9.79,12.43,309.51999,13.2
"2014-06-09",,9.82,,,13.25
"2014-06-10",3.69,9.84,12.69,313.84,13.31
"2014-06-11",3.67,9.87,12.69,313.03,13.34
"2014-06-12",3.67,9.8,12.68,312.76001,13.36
