"","LU1997245177","LU0109392836","LU0359201612","LU0823426308","LU0594300179","base1","base2"
"2014-01-02",4.16,9.26,12.88,330.32001,13.93,2321.978,1831.97998
"2014-01-03",4.11,9.27,12.63,325.57001,13.79,2290.779,1831.369995
"2014-01-06",4.02,9.23,12.48,320.82999,13.7,2238.637,1826.77002
"2014-01-07",4.02,9.35,12.43,320.76001,13.81,2238.001,1837.880005
"2014-01-08",4.04,9.4,12.56,323.01999,13.94,2241.911,1837.48999
"2014-01-09",4,9.34,12.44,321.84,13.75,2222.221,1838.130005
"2014-01-10",3.96,9.38,12.41,320.14002,13.75,2204.851,1842.369995
"2014-01-13",3.96,9.25,12.45,320.57999,13.79,2193.679,1819.199951
"2014-01-14",3.99,9.42,12.42,319.91,13.78,2212.846,1838.880005
"2014-01-15",4.01,9.51,12.47,323.06,13.88,2208.941,1848.380005
"2014-01-16",3.99,9.53,12.49,322.64999,13.81,2211.844,1845.890015
"2014-01-17",3.96,9.53,12.5,323.87,13.96,2178.488,1838.699951
"2014-01-20",3.92,9.52,12.39,321.66,13.85,2165.993,1841.25
"2014-01-21",3.96,9.56,12.47,322.28,13.84,2187.41,1843.800049
"2014-01-22",4.06,9.63,12.56,323.45999,13.83,2243.796,1844.859985
"2014-01-23",4.04,9.55,12.4,316.10001,13.59,2231.889,1828.459961
"2014-01-24",4.08,9.31,12.2,308.48001,13.24,2245.678,1790.290039
"2014-01-27",4.01,9.21,11.9,301.72,13.08,2215.919,1781.560059
"2014-01-28",4.01,9.31,11.95,304.35001,13.23,2219.855,1792.5
"2014-01-29",4.02,9.21,11.99,306.09,13.29,2227.781,1774.199951
"2014-01-30",3.97,9.45,11.84,308.51001,13.41,2202.45,1794.189941
"2014-01-31",3.975,9.37,11.765,303.345,13.35,2207.4665,1782.589966
"2014-02-03",3.9775,9.13,11.7275,300.762495,13.2,2209.97475,1741.890015
"2014-02-04",3.97875,9.22,11.69,298.17999,13.08,2211.228875,1755.199951
"2014-02-05",3.979375,9.21,11.62,294.44,12.84,2211.8559375,1751.640015
"2014-02-06",3.9796875,9.37,11.75,300.48001,13.12,2212.16946875,1773.430054
"2014-02-07",3.98,9.53,11.92,304.95999,13.23,2212.483,1797.02002
"2014-02-10",4.08,9.56,11.95,304.94,13.21,2267.534,1799.839966
"2014-02-11",4.08,9.66,12.09,308.85999,13.47,2285.562,1819.75
"2014-02-12",4.08,9.72,12.19,310.89002,13.51,2291.246,1819.26001
"2014-02-13",4.05,9.86,12.09,308.72,13.51,2279.554,1829.829956
"2014-02-14",4.08,9.89,12.18,310.5,13.6,2295.575,1838.630005
"2014-02-17",4.11,9.89,12.35,313.64002,13.69,2311.647,1839.6950075
"2014-02-18",4.04,9.96,12.34,313,13.78,2282.442,1840.76001
"2014-02-19",4.07,9.92,12.34,314.06,13.76,2308.656,1828.75
"2014-02-20",4.01,10,12.19,310.48999,13.61,2287.436,1839.780029
"2014-02-21",3.98,10,12.22,310.57001,13.69,2264.294,1836.25
"2014-02-24",3.89,10.08,12.1,309.04999,13.61,2214.509,1847.609985
"2014-02-25",3.75,10.07,12.02,304.53,13.57,2157.909,1845.119995
"2014-02-26",3.75,10.1,12.14,308.06,13.71,2163.405,1845.160034
"2014-02-27",3.71,10.16,12.35,312.81,13.93,2154.108,1854.290039
"2014-02-28",3.77,10.08,12.34,314.91,13.96,2178.971,1859.449951
"2014-03-03",3.79,10,12.2,310.66,13.75,2190.37,1845.72998
"2014-03-04",3.78,10.2,12.25,314.85999,13.96,2184.273,1873.910034
"2014-03-05",3.75,10.22,12.22,313.60999,13.92,2163.976,1873.810059
"2014-03-06",3.76,10.21,12.32,316.75,14.09,2173.634,1877.030029
"2014-03-07",3.77,10.16,12.33,315.03,13.91,2168.358,1878.040039
"2014-03-10",3.67,10.1,12.1,308.73999,13.69,2097.787,1877.170044
"2014-03-11",3.69,10.02,12.11,309.92999,13.75,2108.661,1867.630005
"2014-03-12",3.69,10.08,11.92,306.26999,13.58,2114.134,1868.199951
"2014-03-13",3.73,9.89,11.86,302.39999,13.39,2140.333,1846.339966
"2014-03-14",3.69,9.88,11.71,296.67001,13.25,2122.836,1841.130005
"2014-03-17",3.72,9.99,11.67,299.12,13.34,2143.038,1858.829956
"2014-03-18",3.7,10.12,11.8,299.73001,13.42,2138.133,1872.25
"2014-03-19",3.65,10.04,11.77,298.23999,13.38,2120.87,1860.77002
"2014-03-20",3.57,10.1,11.58,294.57999,13.21,2086.967,1872.01001
"2014-03-21",3.67,9.96,11.73,298.45999,13.32,2158.798,1866.52002
"2014-03-24",3.7,9.83,11.99,299.01001,13.32,2176.554,1857.439941
"2014-03-25",3.68,9.83,11.86,297.79999,13.25,2174.44,1865.619995
"2014-03-26",3.68,9.66,11.99,300.67001,13.29,2171.047,1852.560059
