"","LU0231483743","LU0243957239","HK0000065125","LU0261952682","LU0823388615"
"2014-01-02",6.08,11.79,16.0036,110.63,35.19
"2014-01-03",6.08,11.84,16.0141,111.29,34.81
"2014-01-06",6.07,11.78,16.0462,111,35.28
"2014-01-07",6.07,11.78,16.0712,110.86,35.19
"2014-01-08",6.08,11.84,16.0816,111.33,35.66
"2014-01-09",6.11,11.92,16.0837,110.81,35.7
"2014-01-10",6.11,11.77,16.088,111.15,35.73
"2014-01-13",6.12,11.81,16.1158,112.45,36.3
"2014-01-14",6.09,11.64,16.1218,112.25,35.76
"2014-01-15",6.13,11.86,16.1251,112.63,35.91
"2014-01-16",6.14,11.83,16.1452,111.95,35.81
"2014-01-17",6.14,11.91,16.1612,110.74,36.3
"2014-01-20",NA,11.89,16.176,110.95,36.52
"2014-01-21",6.15,11.95,16.1763,110.82,36.22
"2014-01-22",6.15,11.94,16.1821,111.5,36.4
"2014-01-23",6.14,11.78,16.1742,111.29,35.9
"2014-01-24",6.12,11.61,16.1623,108.58,35.26
"2014-01-27",6.06,11.43,16.1477,105.81,35.07
"2014-01-28",6.04,11.4,16.1512,105.92,35.14
"2014-01-29",6.03,11.43,16.1702,106.63,35.68
"2014-01-30",6.02,11.48,16.1695,104.83,35.17
"2014-01-31",6.03,11.55,16.1864,106.23,35.33
"2014-02-03",6.02,11.52,16.1804,105.47,34.74
"2014-02-04",5.96,11.23,16.1899,105.57,32.89
"2014-02-05",5.95,11.16,16.1963,106.66,33.39
"2014-02-06",5.97,11.22,16.1926,107.31,33.81
"2014-02-07",6.01,11.39,16.2062,108.26,34.26
"2014-02-10",6.05,11.46,16.2169,108.23,34.57
"2014-02-11",6.06,11.62,16.23,108.85,34.5
"2014-02-12",6.1,11.91,16.236,108.88,34.79
"2014-02-13",6.09,11.73,16.2332,107.56,34.44
"2014-02-14",6.13,11.78,16.2276,108.29,34.12
"2014-02-17",NA,11.84,16.2312,108.42,34.35
"2014-02-18",6.14,11.85,16.2445,108.87,34.7
"2014-02-19",6.16,11.87,16.2626,109.69,34.81
"2014-02-20",6.15,11.8,16.2567,109.02,34.23
"2014-02-21",6.18,11.94,16.256,110.24,34.7
"2014-02-24",6.19,11.99,16.2653,110.11,34.75
"2014-02-25",6.19,11.93,16.2797,110.4,35.29
"2014-02-26",6.19,12.05,16.3045,110.44,35
"2014-02-27",6.21,12.09,16.3511,110.62,34.82
"2014-02-28",6.24,12.18,16.3386,111.48,34.79
"2014-03-03",6.21,11.96,16.3588,110.48,34.74
"2014-03-04",6.23,12.14,16.3512,111.39,34.77
"2014-03-05",6.26,12.25,16.3517,112.58,34.91
"2014-03-06",6.28,12.22,16.3537,114.76,35.06
"2014-03-07",6.26,12.19,16.3619,114.66,35.32
"2014-03-10",6.24,12.02,16.3596,114.25,35.11
"2014-03-11",6.25,12.09,16.3695,114.09,35.49
"2014-03-12",6.22,11.93,16.3723,113.96,35.13
"2014-03-13",6.22,11.87,16.3789,112.67,35.19
"2014-03-14",6.18,11.7,16.3953,112.21,34.83
"2014-03-17",6.2,11.79,16.3762,112.22,34.04
"2014-03-18",6.21,11.92,16.3712,112.57,34.87
"2014-03-19",6.23,11.9,16.3763,112.84,35
"2014-03-20",6.22,11.96,16.3503,112.52,34.08
"2014-03-21",6.24,11.92,16.3511,113.46,34.12
"2014-03-24",6.19,11.72,16.366,114.24,34.93
"2014-03-25",6.19,11.76,16.3921,115.01,34.94
"2014-03-26",6.19,11.79,16.3902,115.72,35.14
"2014-03-27",6.16,11.71,16.401,115.88,35.38
"2014-03-28",6.17,11.82,16.4213,118.16,35.63
"2014-03-31",6.19,11.76,16.3975,118.64,35.68
"2014-04-01",6.22,11.95,16.4092,118.52,35.71
"2014-04-02",6.23,12.08,16.4063,120.56,35.72
"2014-04-03",6.25,12.18,16.401,118.93,35.65
"2014-04-04",6.23,12.01,16.4115,118.58,35.62
"2014-04-07",6.17,11.67,16.4488,119.04,35.25
"2014-04-08",6.14,11.48,16.4584,119.12,34.96
"2014-04-09",6.16,11.56,16.4593,120,34.77
"2014-04-10",6.19,11.61,16.4878,119.77,34.73
"2014-04-11",6.11,11.32,16.4938,119.81,34.4
"2014-04-14",6.09,11.21,16.5043,119.92,34.44
"2014-04-15",6.11,11.34,16.4993,120.58,34.47
"2014-04-16",6.13,11.34,16.5166,119.16,34.96
"2014-04-17",6.15,11.43,16.5191,120.49,35.09
"2014-04-22",6.2,11.57,16.4988,120.29,34.54
"2014-04-23",6.2,11.55,16.507,120.36,34.99
"2014-04-24",6.21,11.49,16.5234,120.21,35.05
"2014-04-25",6.19,11.38,16.549,120.7,35.3
"2014-04-28",6.18,11.28,16.5594,121.01,35.09
"2014-04-29",6.18,11.24,16.5476,120.8,34.93
"2014-04-30",6.18,11.2,16.559,120.63,35.01
"2014-05-01",NA,NA,16.559,NA,NA
"2014-05-02",6.22,11.39,16.6099,121.95,35.43
"2014-05-05",6.21,11.33,16.6216,121.66,35.6
"2014-05-06",6.21,11.33,16.6048,121.89,35.66
"2014-05-07",6.19,11.05,16.6274,121.13,34.81
"2014-05-08",6.21,11.18,16.6302,121.33,34.85
"2014-05-09",6.18,11.17,16.6621,122.72,35.07
"2014-05-12",6.22,11.37,16.6606,123.69,34.43
"2014-05-13",6.24,11.44,16.676,125.34,34.56
"2014-05-14",6.24,11.39,16.7074,126.21,34.89
"2014-05-15",6.2,11.29,16.7108,126.94,34.87
"2014-05-16",6.2,11.27,16.7145,128.67,34.43
"2014-05-19",6.21,11.35,16.7034,132,34.16
"2014-05-20",6.22,11.38,16.6895,133.41,34.01
"2014-05-21",6.22,11.47,16.6744,134.46,33.98
"2014-05-22",6.24,11.56,16.6768,137.41,34.3
"2014-05-23",6.25,11.63,16.6666,139.46,34.27
"2014-05-26",NA,11.7,16.6723,137.72,34.75
"2014-05-27",6.28,11.79,16.6924,136.39,34.86
"2014-05-28",6.28,11.84,16.7169,136.89,34.98
"2014-05-29",NA,NA,16.7169,NA,NA
"2014-05-30",6.31,11.84,16.7291,135.74,35.27
"2014-06-02",6.31,11.8,16.7293,138.22,35.63
"2014-06-03",6.31,11.84,16.7041,138.64,35.87
