"","IE0030016244","LU0640798830","LU1046421878","LU0028119013","LU0123357419","LU0048622798","LU0055114457","HK0000194255","LU0050427557","LU0261959422","LU0111491626","IE0000830129","LU0742537680","LU0353647653","LU0367025839","LU0122376428","LU0386018732","LU0050372472","LU0261952419","LU0532244745","LU0125727601","LU0823389423","LU0072462343","LU0011963328","LU0172157280","LU0717748213","LU0132414144","LU0011963674","IE0004868828","LU0367024519","LU0745992734","IE00B3YQ9180","LU0237698757","LU1775951525","LU1046420557","LU0261952922","LU0161332480","IE00B62P4Q86","IE00B4YN5X00","LU0052588471","IE00B237VG42","LU0048574536","LU0823413587","LU0011850392","LU0048621717","LU0119750205","LU0149503202","LU0794788066","LU0794787928","LU0971552673","LU0348825331","GB0030655780","LU0982800228","LU0396313180","LU0354059684","GB00B3B9VC56","LU0307460401","LU1775955435","GB00B3B9V927","LU0265550359","LU0871640040","LU1023057109","LU0428352859","LU1046420987","LU0314106062","IE00B3Y5VT74","LU0252652382","IE00B464Q616","LU1023062109","LU0196876865"
"2014-01-01 08:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7656,,
"2014-01-02 08:00:00",16.09,9.511,,18.51,28.42,6.142,22.741,,36.108,14.98,38.37126,62.78,10.87,11.09,7.66008,24.79,0.9122,24.42,15.57,6.69,57.99,75.99,30.360001,30.1458,33.27,10.668,37.8504,359.962,120.96943,14.68,6.91,121.65,10.66,6.32,,10.8627,25752,63.27,6716,14.559,27.04,45.561,566.60999,88.53,2.348,13.48,20.27,7.5347,7.8775,7.62,47.19,27.5057,7.58,18.529,11.46,2.66,9.091,73.88,160.2,11.09,5.11,,8.413,,0.77389,8.85,28.59,7.7291,,1.9344
"2014-01-03 08:00:00",15.99,9.254,,18.62,28.02,6.141,22.432,,36.098,15.1,38.52542,61.96,10.86,11.16,7.66889,24.65,0.913,24.450001,15.68,6.68,58.26,76.06,29.98,29.9875,33.3,10.6681,37.8469,359.9262,120.09692,14.47,6.9,121.16,10.71,6.24,,10.8627,25574,63.3,6603.52,14.625,26.83,45.561,562.28998,87.77,2.355,13.52,20.11,7.5423,7.8857,7.62,46.27,27.6611,7.57,18.4408,11.47,2.647,9.109,73.89,160.1,11.07,5.11,,8.4,,0.77502,8.85,28.64,7.7291,,1.915
"2014-01-06 08:00:00",15.97,9.147,,18.68,27.94,6.153,22.064,,35.962,15.08,38.44428,61.53,10.85,11.13,7.68649,24.53,0.9138,24.49,15.63,6.68,58.09,76.09,29.84,29.8685,32.89,10.6656,37.9027,358.03,120.25203,14.42,6.88,120.53,10.68,6.22,,10.8628,25736,63.4,6524.54,14.606,26.75,45.233,558.84998,87.47,2.363,13.54,20.14,7.5454,7.8889,7.61,45.64,27.7097,7.57,18.3555,11.464,2.642,9.054,73.92,160.6,11.04,5.12,,8.355,,0.77662,8.87,28.57,7.7217,,1.9019
"2014-01-07 08:00:00",15.97,9.11,,18.65,27.87,6.156,21.955,,36.03,15.08,38.64713,61.31,10.9,11.15,7.7041,24.65,0.9151,24.530001,15.74,6.68,58.51,76.17,29.780001,29.8836,32.62,10.6459,37.9143,355.2339,119.72852,14.39,6.87,120.32,10.76,6.22,,10.8628,25822,63.44,6495.63,14.701,26.7,45.384,561.20001,88.15,2.381,13.56,20.09,7.5207,7.8629,7.64,45.37,27.7097,7.59,18.3046,11.467,2.63,8.997,73.98,159.5,11.05,5.13,,8.343,,0.77972,8.89,28.6,7.7364,,1.9083
"2014-01-08 08:00:00",16.08,9.198,,18.76,28.07,6.144,22.024,,35.787,15.1,38.61468,61.6,10.89,11.13,7.6953,24.62,0.9162,24.549999,15.91,6.67,58.62,75.97,30.040001,29.8314,32.42,10.6463,37.9716,361.6972,121.35722,14.49,6.87,120.31,10.77,6.28,,10.8628,25988,63.5,6575.34,14.729,26.85,45.251,562.31,87.91,2.379,13.55,20.2,7.5318,7.8746,7.62,46.07,27.7874,7.58,18.3738,11.492,2.63,9.038,74.02,159.4,11.03,5.13,,8.358,,0.77812,8.87,28.57,7.7144,,1.8997
"2014-01-09 08:00:00",16.05,9.108,,18.95,27.91,6.144,22.114,,35.137,15.03,38.36314,61.25,10.85,11.07,7.68649,24.6,0.9166,24.549999,15.95,6.68,58.36,75.97,29.83,29.8415,31.99,10.6451,37.9122,358.5351,120.89187,14.41,6.88,120.42,10.7,6.26,,10.8628,25887,63.51,6515.48,14.691,26.79,45.18,556.87,87.41,2.37,13.64,20.25,7.5366,7.8797,7.67,45.58,27.9526,7.58,18.2833,11.484,2.628,9.023,73.96,158.9,11.01,5.15,,8.362,,0.77793,8.87,28.58,7.7071,,1.8899
"2014-01-10 08:00:00",16.05,9.16,,18.87,27.8,6.177,22.611,,35.758,15.07,38.56599,61.17,10.9,11.12,7.6953,24.56,0.9177,24.549999,15.94,6.68,58.81,76.06,29.690001,29.8306,32.02,10.654,37.9261,357.3186,121.42508,14.35,6.88,120.07,10.73,6.23,,10.8628,25817,63.52,6505.55,14.72,26.79,45.18,561.66998,87.72,2.381,13.67,20.26,7.539,7.8822,7.65,45.48,28.0789,7.6,18.2862,11.521,2.625,9.035,74.01,159.1,11.05,5.15,,8.391,,0.78329,8.91,28.68,7.7729,,1.8985
"2014-01-13 08:00:00",16.11,9.195,,18.93,27.92,6.191,23.845,,35.855,15.1,38.53354,61.79,10.88,11.11,7.75693,24.47,0.9189,24.58,15.99,6.69,58.74,76.04,29.940001,29.5254,32.18,10.6797,38.0257,357.2625,122.88896,14.41,6.91,119.25,10.75,6.28,,10.8629,25626,63.59,6542.57,14.748,26.86,45.047,563.40002,88.24,2.397,13.64,20.28,7.5472,7.8904,7.65,45.44,28.2052,7.61,18.4505,11.529,2.636,9.219,74.1,159.5,11.06,5.18,,8.439,,0.78282,8.92,28.65,7.7949,,1.9072
"2014-01-14 08:00:00",15.92,9.172,,18.86,27.4,6.186,23.766,,35.681,15.09,38.52542,61.77,10.88,11.14,7.72171,24.25,0.9191,24.6,15.9,6.69,58.85,75.93,29.860001,29.4162,32.08,10.6822,38.0567,349.2263,122.72416,14.15,6.9,117.4,10.73,6.25,,10.8629,25606,63.62,6509.55,14.738,26.69,44.567,563.26001,87.31,2.406,13.63,19.98,7.5499,7.8933,7.61,45.33,28.0303,7.61,18.2667,11.535,2.615,,74.05,158.5,11.01,5.15,,8.439,,0.78282,8.91,28.73,7.7876,,1.8877
